EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
3,3,0,2,2,1,1,1,1,10,hambahari; hügieenipropaganda; ivanov; ristimine
3,3,2,2,2,1,1,1,1,10,hambahari; hügieenipropaganda; ivanov; ristimine
3,3,2,2,3,1,1,2,1,10,hambahari; hügieenipropaganda; ivanov; ristimine
2,3,2,2,4,1,1,2,1,10,hambahari; hügieenipropaganda; ivanov; ristimine
3,3,2,2,4,1,2,2,1,10,hambahari; hügieenipropaganda; ivanov; ristimine
2,3,2,0,4,2,1,2,3,10,hambahari; hügieenipropaganda; ivanov; ristimine
1,2,2,2,3,1,0,2,3,10,hambahari; ivanov; ristimine; hügieenipropaganda
0,2,3,2,2,0,1,2,3,10,hambahari; ivanov; ristimine; hügieenipropaganda
2,1,2,1,2,2,1,1,3,10,hambahari; ivanov; ristimine; hügieenipropaganda
2,4,3,1,2,1,1,1,3,10,hambahari; ivanov; ristimine; hügieenipropaganda
2,4,3,0,1,1,1,1,3,10,hambahari; hügieenipropaganda; ivanov; ristimine
