EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,10,6,10,2,6,3,6,10,19,ulvi; hõff; venemaa; sammas; sotsiaalministeerium; festival; muusikaõpetaja; pärimusmuusika; tamme; abhaasia; mall; gruusia; somaalia; mälberg; haigekassa
7,9,7,11,2,5,3,7,10,19,ulvi; hõff; venemaa; sammas; sotsiaalministeerium; festival; muusikaõpetaja; pärimusmuusika; tamme; abhaasia; mall; gruusia; somaalia; mälberg; haigekassa
7,8,7,11,2,5,3,9,10,19,ulvi; hõff; venemaa; sammas; sotsiaalministeerium; festival; muusikaõpetaja; pärimusmuusika; tamme; abhaasia; mall; gruusia; somaalia; mälberg; haigekassa
8,8,8,11,3,6,4,9,10,19,ulvi; hõff; venemaa; sammas; sotsiaalministeerium; festival; muusikaõpetaja; pärimusmuusika; tamme; abhaasia; mall; gruusia; somaalia; mälberg; haigekassa
10,8,9,13,4,6,6,10,10,19,ulvi; hõff; venemaa; sammas; sotsiaalministeerium; festival; muusikaõpetaja; pärimusmuusika; tamme; abhaasia; gruusia; mall; somaalia; mälberg; haigekassa
9,10,11,13,3,8,8,10,10,19,ulvi; hõff; venemaa; sammas; sotsiaalministeerium; festival; muusikaõpetaja; pärimusmuusika; abhaasia; tamme; gruusia; mall; somaalia; mälberg; haigekassa
9,7,10,9,6,9,10,13,10,19,ulvi; hõff; venemaa; sammas; sotsiaalministeerium; festival; muusikaõpetaja; pärimusmuusika; abhaasia; tamme; gruusia; mall; somaalia; mälberg; haigekassa
9,6,8,7,6,7,10,12,8,19,ulvi; hõff; venemaa; sammas; sotsiaalministeerium; festival; muusikaõpetaja; pärimusmuusika; tamme; abhaasia; gruusia; mall; somaalia; mälberg; haigekassa
10,5,11,7,8,8,9,10,10,19,ulvi; hõff; venemaa; sammas; sotsiaalministeerium; festival; muusikaõpetaja; pärimusmuusika; tamme; abhaasia; gruusia; mall; somaalia; mälberg; haigekassa
6,6,9,6,9,11,10,11,10,19,ulvi; hõff; venemaa; sammas; sotsiaalministeerium; festival; muusikaõpetaja; pärimusmuusika; abhaasia; tamme; gruusia; mall; somaalia; mälberg; haigekassa
6,5,10,6,9,11,9,11,11,19,ulvi; hõff; venemaa; sammas; sotsiaalministeerium; festival; muusikaõpetaja; pärimusmuusika; tamme; abhaasia; gruusia; mall; somaalia; mälberg; haigekassa
