EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,7,8,8,5,7,8,7,6,12,iroonia; viivi; raadioarhiiv; intervjuu; kollane; mati; unt; kass
7,7,8,8,5,7,8,7,6,12,iroonia; viivi; raadioarhiiv; intervjuu; kollane; mati; unt; kass
7,7,8,8,6,8,8,7,6,12,iroonia; viivi; raadioarhiiv; intervjuu; kollane; mati; unt; kass
8,7,8,8,6,8,8,7,6,12,iroonia; viivi; raadioarhiiv; intervjuu; kollane; mati; unt; kass
8,7,8,8,6,8,8,8,6,12,iroonia; intervjuu; viivi; raadioarhiiv; kollane; mati; unt; kass
7,8,8,8,5,8,8,8,7,12,iroonia; intervjuu; raadioarhiiv; viivi; kollane; mati; unt; kass
8,8,8,8,6,8,8,8,7,12,iroonia; viivi; intervjuu; raadioarhiiv; kollane; mati; unt; kass
6,8,8,7,7,8,8,8,7,12,iroonia; intervjuu; viivi; raadioarhiiv; kollane; mati; unt; kass
6,8,8,6,7,8,8,8,7,12,iroonia; intervjuu; viivi; raadioarhiiv; kollane; mati; unt; kass
7,8,8,6,8,8,8,8,7,12,iroonia; intervjuu; viivi; raadioarhiiv; kollane; mati; unt; kass
6,8,8,6,8,8,7,8,7,12,iroonia; intervjuu; viivi; raadioarhiiv; kollane; mati; unt; kass
