EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,7,7,8,4,5,6,5,5,12,televiisor; aeg; energia; james; klassikokkutulek; raadio; ansambel; merivoo-parro; maarja; album
6,8,7,8,5,6,6,5,5,12,televiisor; aeg; energia; james; klassikokkutulek; raadio; ansambel; merivoo-parro; maarja; album
6,8,8,8,5,6,6,5,5,12,televiisor; aeg; energia; james; klassikokkutulek; raadio; ansambel; merivoo-parro; maarja; album
6,8,8,8,5,6,6,5,5,12,televiisor; aeg; energia; james; klassikokkutulek; raadio; ansambel; merivoo-parro; maarja; album
4,7,8,9,4,6,7,5,5,12,televiisor; aeg; energia; james; klassikokkutulek; raadio; ansambel; merivoo-parro; maarja; album
7,7,8,8,5,6,7,6,5,12,televiisor; aeg; james; energia; klassikokkutulek; raadio; ansambel; merivoo-parro; maarja; album
8,8,9,8,5,7,6,5,5,12,televiisor; aeg; energia; james; klassikokkutulek; raadio; ansambel; merivoo-parro; maarja; album
6,8,9,7,7,6,5,8,5,12,televiisor; aeg; energia; james; klassikokkutulek; raadio; ansambel; merivoo-parro; album; maarja
6,7,8,7,6,5,7,8,5,12,televiisor; energia; aeg; james; klassikokkutulek; raadio; ansambel; merivoo-parro; album; maarja
6,8,6,7,8,4,6,4,5,12,televiisor; energia; aeg; james; klassikokkutulek; raadio; ansambel; merivoo-parro; album; maarja
6,9,6,6,7,7,6,5,4,12,televiisor; aeg; energia; james; klassikokkutulek; raadio; ansambel; merivoo-parro; album; maarja
