EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
3,1,1,3,3,2,2,3,3,11,piloot; leningrad; eesti; volga
3,1,1,3,3,2,2,3,3,11,piloot; leningrad; eesti; volga
3,1,2,3,3,2,2,4,3,11,piloot; leningrad; eesti; volga
3,1,3,3,3,2,2,3,3,11,piloot; leningrad; eesti; volga
3,1,2,3,3,3,2,4,3,11,piloot; leningrad; eesti; volga
3,1,4,4,4,3,2,3,3,11,piloot; leningrad; eesti; volga
3,2,3,4,3,4,2,2,3,11,piloot; leningrad; eesti; volga
3,2,4,4,3,3,2,3,3,11,piloot; leningrad; eesti; volga
2,2,4,4,3,3,2,2,3,11,piloot; leningrad; eesti; volga
3,2,2,3,3,3,2,2,3,11,piloot; leningrad; eesti; volga
1,2,2,4,3,2,2,2,3,11,piloot; leningrad; eesti; volga
