EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,6,8,5,5,7,5,6,4,12,andres; estonia; teater; köster; näitleja; jõgis; loorberipärg; teenima; leiba
6,6,8,3,5,7,6,6,4,12,andres; estonia; teater; köster; näitleja; jõgis; loorberipärg; teenima; leiba
7,6,8,5,5,6,6,6,4,12,andres; estonia; teater; köster; näitleja; jõgis; loorberipärg; teenima; leiba
7,6,8,5,5,6,5,6,4,12,andres; estonia; teater; köster; näitleja; jõgis; loorberipärg; teenima; leiba
7,6,8,7,5,6,6,7,4,12,andres; estonia; teater; köster; näitleja; jõgis; loorberipärg; teenima; leiba
7,6,8,7,5,7,6,6,4,12,andres; estonia; teater; köster; näitleja; jõgis; loorberipärg; teenima; leiba
6,3,7,5,5,7,7,6,4,12,andres; estonia; teater; köster; näitleja; jõgis; loorberipärg; teenima; leiba
4,4,7,5,6,6,3,7,3,12,andres; estonia; teater; köster; näitleja; jõgis; loorberipärg; teenima; leiba
3,4,6,5,6,6,4,6,8,12,andres; estonia; teater; köster; näitleja; jõgis; loorberipärg; teenima; leiba
4,4,5,7,7,6,8,6,8,12,andres; estonia; teater; köster; näitleja; jõgis; loorberipärg; teenima; leiba
3,4,8,7,5,5,7,8,7,12,andres; estonia; teater; köster; näitleja; jõgis; loorberipärg; teenima; leiba
