EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,6,6,5,5,7,7,8,5,10,film; loosung; toimetus; saade; režissöör; raadio; kirjandus; televisioon
7,6,7,5,5,7,7,8,5,10,film; loosung; toimetus; saade; režissöör; raadio; kirjandus; televisioon
7,6,8,5,5,7,7,8,5,10,film; loosung; toimetus; saade; režissöör; raadio; kirjandus; televisioon
7,6,8,5,6,7,6,8,6,10,film; loosung; toimetus; saade; režissöör; raadio; kirjandus; televisioon
8,4,7,5,6,8,6,7,6,10,film; loosung; toimetus; saade; režissöör; raadio; kirjandus; televisioon
8,5,6,5,6,7,6,7,5,10,film; loosung; toimetus; saade; režissöör; raadio; kirjandus; televisioon
6,6,7,6,5,6,6,7,5,10,film; loosung; toimetus; saade; raadio; režissöör; kirjandus; televisioon
5,5,5,6,5,7,7,7,6,10,film; loosung; toimetus; saade; režissöör; raadio; kirjandus; televisioon
6,6,7,7,7,7,6,7,5,10,film; loosung; toimetus; saade; raadio; režissöör; kirjandus; televisioon
4,6,5,7,7,6,7,8,5,10,film; loosung; toimetus; saade; raadio; režissöör; kirjandus; televisioon
4,7,7,7,7,6,6,7,5,10,film; loosung; toimetus; saade; raadio; režissöör; kirjandus; televisioon
