EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
11,9,8,8,9,10,9,10,8,13,graafika; galerii; tudengifilm; tartu; vabakaubandus; aleksander; poliitiline; kunstihoone; kuraator; härm; graafikatriennaal; anders
11,9,8,8,9,10,9,10,8,13,graafika; galerii; tudengifilm; tartu; vabakaubandus; aleksander; poliitiline; kunstihoone; kuraator; härm; graafikatriennaal; anders
11,9,8,8,9,9,9,10,8,13,graafika; galerii; tudengifilm; tartu; vabakaubandus; aleksander; poliitiline; kunstihoone; kuraator; härm; graafikatriennaal; anders
10,9,8,8,8,9,8,10,8,13,graafika; galerii; tudengifilm; tartu; vabakaubandus; aleksander; poliitiline; kunstihoone; kuraator; härm; graafikatriennaal; anders
9,9,10,9,8,9,8,11,8,13,graafika; galerii; tudengifilm; tartu; vabakaubandus; aleksander; poliitiline; kunstihoone; kuraator; härm; graafikatriennaal; anders
9,9,9,9,9,10,9,10,8,13,graafika; galerii; tudengifilm; tartu; vabakaubandus; anders; aleksander; poliitiline; kunstihoone; härm; graafikatriennaal; kuraator
8,9,8,10,8,10,11,10,9,13,graafika; galerii; tudengifilm; tartu; vabakaubandus; poliitiline; aleksander; kunstihoone; kuraator; härm; graafikatriennaal; anders
8,9,9,10,9,10,11,10,8,13,graafika; galerii; tudengifilm; tartu; vabakaubandus; anders; poliitiline; aleksander; kunstihoone; härm; graafikatriennaal; kuraator
8,8,9,12,9,7,10,7,8,13,graafika; galerii; tudengifilm; tartu; vabakaubandus; poliitiline; aleksander; kunstihoone; kuraator; härm; graafikatriennaal; anders
7,9,8,12,11,9,9,7,8,13,graafika; galerii; tudengifilm; tartu; vabakaubandus; anders; poliitiline; aleksander; kunstihoone; härm; graafikatriennaal; kuraator
7,10,8,11,11,8,11,7,8,13,graafika; galerii; tudengifilm; tartu; vabakaubandus; anders; poliitiline; aleksander; kunstihoone; härm; graafikatriennaal; kuraator
