EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
9,5,2,6,3,7,4,4,5,15,putin; keemiarelvarünnak; kultuuripealinn; bashar; sildam; toomas; vladimir; jevgeni; liikumine; töövisiit; tõnu
9,5,2,6,5,7,4,4,5,15,putin; keemiarelvarünnak; kultuuripealinn; bashar; sildam; toomas; vladimir; jevgeni; liikumine; töövisiit; tõnu
9,5,3,6,6,7,3,5,5,15,putin; keemiarelvarünnak; kultuuripealinn; bashar; sildam; toomas; vladimir; jevgeni; liikumine; töövisiit; tõnu
9,4,5,6,6,7,3,6,5,15,putin; keemiarelvarünnak; kultuuripealinn; bashar; sildam; toomas; vladimir; jevgeni; liikumine; töövisiit; tõnu
9,4,5,6,5,6,2,7,6,15,putin; keemiarelvarünnak; kultuuripealinn; bashar; sildam; toomas; vladimir; jevgeni; liikumine; töövisiit; tõnu
8,6,6,4,5,6,6,9,7,15,bashar; sildam; liikumine; töövisiit; tõnu; putin; kultuuripealinn; keemiarelvarünnak; toomas; vladimir; jevgeni
6,6,5,6,5,6,5,8,7,15,bashar; sildam; liikumine; töövisiit; tõnu; putin; kultuuripealinn; keemiarelvarünnak; toomas; jevgeni; vladimir
7,5,7,5,7,6,5,7,8,15,bashar; sildam; liikumine; töövisiit; tõnu; putin; kultuuripealinn; keemiarelvarünnak; toomas; jevgeni; vladimir
5,5,9,5,9,5,5,9,7,15,bashar; sildam; liikumine; töövisiit; tõnu; keemiarelvarünnak; kultuuripealinn; putin; toomas; vladimir; jevgeni
3,9,8,5,6,5,3,7,6,15,keemiarelvarünnak; kultuuripealinn; putin; bashar; toomas; sildam; jevgeni; vladimir; liikumine; töövisiit; tõnu
4,8,8,6,7,4,8,7,8,15,bashar; sildam; liikumine; töövisiit; tõnu; keemiarelvarünnak; kultuuripealinn; putin; toomas; vladimir; jevgeni
