EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
10,8,7,5,3,12,11,11,11,17,mäger; antoloogia; bett; gustav; mart; suits; karl; luuletaja; rummo; alver; eesti; sööt; muru; luulealbum; paul-eerik
10,8,6,5,4,12,11,11,11,17,mäger; antoloogia; bett; gustav; mart; suits; karl; luuletaja; rummo; alver; eesti; sööt; muru; luulealbum; paul-eerik
11,9,7,5,7,11,11,11,11,17,mäger; antoloogia; bett; gustav; mart; suits; karl; luuletaja; rummo; alver; eesti; sööt; muru; luulealbum; paul-eerik
11,10,7,5,5,10,11,11,11,17,mäger; antoloogia; bett; gustav; mart; suits; karl; luuletaja; rummo; alver; eesti; sööt; muru; luulealbum; paul-eerik
11,10,11,6,6,9,6,8,11,17,mäger; antoloogia; bett; gustav; mart; suits; karl; luuletaja; rummo; alver; eesti; sööt; muru; luulealbum; paul-eerik
10,9,12,7,9,10,8,8,11,17,mäger; antoloogia; bett; gustav; mart; suits; karl; luuletaja; rummo; alver; eesti; sööt; muru; luulealbum; paul-eerik
9,10,11,14,11,12,10,11,11,17,mäger; antoloogia; bett; gustav; mart; suits; karl; luuletaja; rummo; alver; eesti; sööt; muru; luulealbum; paul-eerik
9,8,10,12,11,10,9,11,13,17,mäger; antoloogia; bett; gustav; mart; suits; karl; luuletaja; rummo; alver; eesti; sööt; muru; luulealbum; paul-eerik
6,7,13,12,11,10,9,11,12,17,mäger; antoloogia; bett; gustav; mart; suits; karl; luuletaja; rummo; alver; eesti; sööt; muru; luulealbum; paul-eerik
6,9,9,11,13,10,8,11,13,17,mäger; antoloogia; bett; gustav; mart; suits; karl; luuletaja; rummo; alver; eesti; sööt; muru; luulealbum; paul-eerik
5,7,10,10,12,12,8,9,12,17,mäger; antoloogia; bett; gustav; mart; suits; karl; luuletaja; rummo; alver; eesti; sööt; muru; luulealbum; paul-eerik
