EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,5,7,8,5,7,6,6,6,15,festival; steinfeld; eino; muusika; interpreet; eesti; steinway; traditsioon; publik; tamberg; nele-eva; noor
7,5,8,8,6,8,6,6,6,15,eino; muusika; publik; tamberg; nele-eva; festival; steinfeld; interpreet; eesti; steinway; traditsioon; noor
7,6,11,8,6,8,7,7,6,15,eino; muusika; publik; tamberg; nele-eva; festival; steinfeld; interpreet; eesti; steinway; traditsioon; noor
7,6,11,6,6,9,7,9,8,15,eino; muusika; publik; tamberg; nele-eva; festival; steinfeld; interpreet; eesti; steinway; traditsioon; noor
7,7,10,7,6,12,9,11,7,15,eino; muusika; publik; tamberg; nele-eva; festival; steinfeld; interpreet; eesti; steinway; traditsioon; noor
8,4,11,6,8,11,9,11,7,15,eino; muusika; publik; tamberg; nele-eva; festival; steinfeld; interpreet; eesti; steinway; traditsioon; noor
7,4,10,8,9,8,11,8,7,15,eino; muusika; publik; tamberg; nele-eva; festival; steinfeld; interpreet; eesti; steinway; traditsioon; noor
8,4,9,7,9,12,11,11,8,15,eino; muusika; publik; tamberg; nele-eva; festival; steinfeld; interpreet; eesti; steinway; traditsioon; noor
7,5,10,6,10,9,7,11,9,15,eino; muusika; publik; tamberg; nele-eva; festival; steinfeld; interpreet; eesti; steinway; traditsioon; noor
7,6,8,6,9,8,7,10,9,15,eino; muusika; publik; tamberg; nele-eva; festival; steinfeld; interpreet; eesti; steinway; traditsioon; noor
7,5,8,7,9,6,8,9,8,15,eino; muusika; publik; tamberg; nele-eva; festival; steinfeld; interpreet; eesti; steinway; traditsioon; noor
