EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
10,9,9,9,7,7,7,9,9,10,gladiaator; ameerika; sõda; võit; mees; sport; naine; meedia; jalgpall; võistlus
10,9,10,9,7,8,8,9,9,10,gladiaator; ameerika; sõda; võit; mees; sport; naine; meedia; jalgpall; võistlus
10,9,10,10,7,8,8,9,9,10,gladiaator; ameerika; sõda; võit; mees; sport; naine; meedia; jalgpall; võistlus
10,9,9,9,8,8,8,9,9,10,gladiaator; ameerika; sõda; võit; mees; sport; naine; meedia; jalgpall; võistlus
10,9,9,9,8,10,8,10,9,10,gladiaator; ameerika; sõda; võit; mees; sport; naine; meedia; jalgpall; võistlus
10,9,9,9,9,9,9,10,9,10,gladiaator; ameerika; sõda; võit; mees; sport; naine; meedia; jalgpall; võistlus
10,9,9,9,10,10,10,10,9,10,gladiaator; ameerika; sõda; võit; mees; sport; naine; meedia; jalgpall; võistlus
8,9,9,9,9,10,10,10,9,10,gladiaator; ameerika; sõda; võit; mees; sport; naine; meedia; jalgpall; võistlus
8,9,9,8,9,10,10,10,8,10,gladiaator; ameerika; sõda; võit; mees; sport; naine; meedia; jalgpall; võistlus
8,9,9,8,8,10,10,9,9,10,gladiaator; ameerika; sõda; võit; mees; sport; naine; meedia; jalgpall; võistlus
9,9,9,9,9,8,9,10,8,10,gladiaator; ameerika; sõda; võit; mees; sport; naine; meedia; jalgpall; võistlus
