EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
9,8,11,10,8,9,8,9,10,12,trahv; karistus; port; hilinemine; euroopa; majandusliit; miljon; liit; facebook; börs; kristjan
9,8,11,10,7,9,9,9,10,12,trahv; karistus; port; hilinemine; euroopa; majandusliit; miljon; liit; facebook; börs; kristjan
9,8,11,10,7,10,10,9,10,12,trahv; karistus; port; hilinemine; euroopa; majandusliit; miljon; liit; facebook; börs; kristjan
9,8,11,10,7,10,10,10,10,12,trahv; karistus; port; hilinemine; euroopa; majandusliit; miljon; liit; facebook; börs; kristjan
9,8,11,9,7,11,11,11,10,12,trahv; karistus; port; hilinemine; euroopa; majandusliit; miljon; liit; facebook; börs; kristjan
10,8,11,9,7,11,11,11,10,12,trahv; karistus; port; hilinemine; euroopa; majandusliit; miljon; liit; facebook; börs; kristjan
10,8,11,10,8,11,11,11,10,12,trahv; karistus; port; hilinemine; euroopa; majandusliit; miljon; liit; facebook; börs; kristjan
9,8,11,11,9,11,11,11,10,12,trahv; karistus; port; hilinemine; euroopa; majandusliit; miljon; liit; börs; facebook; kristjan
10,8,11,9,10,11,11,11,10,12,trahv; karistus; port; hilinemine; euroopa; majandusliit; miljon; liit; börs; facebook; kristjan
11,9,11,9,10,11,11,11,10,12,trahv; karistus; port; hilinemine; euroopa; majandusliit; miljon; liit; börs; facebook; kristjan
9,9,11,9,10,10,11,11,9,12,trahv; karistus; port; hilinemine; euroopa; majandusliit; miljon; liit; börs; facebook; kristjan
