EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
5,3,6,3,2,4,5,4,10,14,august; johannes; raud; keel; tuglas; hellitus; friedebert; hermann; karl; küsimus; salonen; armas
5,3,6,3,3,4,6,5,10,14,august; johannes; raud; keel; tuglas; hellitus; friedebert; hermann; karl; küsimus; salonen; armas
5,3,6,3,3,4,6,5,10,14,august; johannes; raud; keel; tuglas; hellitus; friedebert; hermann; karl; küsimus; salonen; armas
5,5,6,3,3,6,7,5,11,14,august; johannes; raud; keel; tuglas; hellitus; friedebert; hermann; karl; küsimus; salonen; armas
6,5,8,3,4,6,7,6,11,14,august; johannes; raud; keel; tuglas; hellitus; friedebert; hermann; karl; küsimus; salonen; armas
7,5,8,7,5,7,7,7,11,14,august; johannes; raud; keel; tuglas; hellitus; friedebert; hermann; karl; küsimus; salonen; armas
4,7,9,11,8,9,7,8,11,14,august; johannes; keel; raud; tuglas; hellitus; hermann; friedebert; karl; küsimus; salonen; armas
6,6,7,10,8,7,4,8,9,14,august; johannes; raud; keel; tuglas; hellitus; hermann; friedebert; karl; küsimus; salonen; armas
5,7,10,8,9,10,8,8,10,14,august; johannes; raud; keel; tuglas; hellitus; hermann; friedebert; karl; küsimus; salonen; armas
6,5,8,8,9,6,4,8,11,14,august; johannes; raud; keel; tuglas; hellitus; hermann; friedebert; karl; küsimus; salonen; armas
6,4,8,8,9,7,4,8,7,14,august; johannes; raud; keel; tuglas; hellitus; hermann; friedebert; karl; küsimus; salonen; armas
