EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
8,9,7,6,6,8,6,6,7,10,elizabeth; muusikaline; tekst; hollandlanna; sooloettevõtmine; keel; california; pala; laul
8,9,7,6,6,8,6,6,7,10,elizabeth; muusikaline; tekst; hollandlanna; sooloettevõtmine; keel; california; pala; laul
8,9,7,6,6,7,6,7,7,10,elizabeth; muusikaline; tekst; hollandlanna; sooloettevõtmine; keel; california; pala; laul
7,9,6,6,6,7,6,7,7,10,elizabeth; tekst; hollandlanna; california; pala; laul; muusikaline; sooloettevõtmine; keel
8,8,8,6,6,7,8,7,7,10,elizabeth; muusikaline; tekst; hollandlanna; sooloettevõtmine; keel; california; pala; laul
8,8,8,6,6,8,8,8,8,10,elizabeth; muusikaline; tekst; hollandlanna; sooloettevõtmine; keel; california; pala; laul
9,9,7,6,6,8,7,9,8,10,elizabeth; muusikaline; tekst; hollandlanna; sooloettevõtmine; keel; california; pala; laul
9,9,8,8,6,8,7,8,8,10,elizabeth; muusikaline; tekst; hollandlanna; sooloettevõtmine; keel; california; pala; laul
9,8,8,7,7,8,7,9,8,10,elizabeth; muusikaline; tekst; hollandlanna; sooloettevõtmine; keel; california; pala; laul
8,8,9,7,7,9,8,8,7,10,elizabeth; muusikaline; tekst; hollandlanna; sooloettevõtmine; keel; california; pala; laul
5,7,6,7,8,8,8,9,8,10,elizabeth; muusikaline; tekst; hollandlanna; sooloettevõtmine; keel; california; pala; laul
