EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
8,2,3,4,5,5,6,3,6,15,liibanon; tootmisliin; vare; resolutsioon; iisrael; tallinn; kai; viktor; üro
8,2,3,4,5,6,5,4,6,15,liibanon; tootmisliin; vare; resolutsioon; iisrael; tallinn; kai; viktor; üro
8,3,4,4,5,6,5,4,7,15,liibanon; tootmisliin; vare; resolutsioon; iisrael; tallinn; kai; viktor; üro
8,4,4,3,5,6,5,6,7,15,liibanon; tootmisliin; vare; resolutsioon; iisrael; tallinn; kai; viktor; üro
7,4,5,3,5,8,3,7,7,15,liibanon; tootmisliin; vare; resolutsioon; iisrael; tallinn; kai; viktor; üro
6,5,4,4,5,9,3,7,7,15,liibanon; tootmisliin; vare; resolutsioon; iisrael; kai; tallinn; viktor; üro
4,6,6,7,5,7,5,4,5,15,liibanon; tootmisliin; vare; resolutsioon; iisrael; kai; tallinn; viktor; üro
4,6,7,8,5,4,5,7,4,15,tootmisliin; liibanon; vare; resolutsioon; iisrael; tallinn; kai; viktor; üro
5,6,6,7,5,6,4,8,4,15,tootmisliin; liibanon; vare; resolutsioon; iisrael; tallinn; kai; viktor; üro
4,6,8,6,7,5,5,6,5,15,tootmisliin; liibanon; vare; resolutsioon; iisrael; tallinn; kai; viktor; üro
5,6,8,6,6,5,5,6,5,15,tootmisliin; liibanon; vare; resolutsioon; iisrael; tallinn; kai; viktor; üro
