EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
5,5,5,3,5,3,4,5,3,14,huumor; saladus; probleem; anders; tallinn; mäng; näitus; akvarell
5,6,5,3,5,3,4,5,3,14,huumor; probleem; saladus; anders; tallinn; mäng; näitus; akvarell
6,6,6,3,5,4,4,5,3,14,huumor; probleem; anders; tallinn; näitus; mäng; saladus; akvarell
6,5,6,4,5,4,4,5,3,14,huumor; probleem; anders; tallinn; näitus; mäng; saladus; akvarell
5,5,6,3,5,5,4,5,3,14,huumor; probleem; anders; tallinn; näitus; mäng; saladus; akvarell
7,6,7,3,5,4,5,5,3,14,huumor; probleem; anders; tallinn; näitus; mäng; saladus; akvarell
5,6,7,5,6,4,7,5,3,14,huumor; probleem; anders; tallinn; näitus; mäng; saladus; akvarell
6,5,6,5,6,4,7,6,4,14,huumor; probleem; anders; tallinn; näitus; mäng; saladus; akvarell
6,6,7,4,7,5,7,6,4,14,huumor; probleem; anders; tallinn; näitus; mäng; saladus; akvarell
5,5,5,4,7,6,6,4,5,14,huumor; probleem; anders; tallinn; näitus; mäng; saladus; akvarell
4,6,5,4,6,5,7,5,4,14,huumor; probleem; anders; tallinn; näitus; mäng; saladus; akvarell
