EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
8,7,8,5,6,6,4,4,6,10,energia; tennisemäng; töö; sööma; võistlus; mäng; geim; pall; tervis
8,7,8,6,6,7,4,4,7,10,energia; tennisemäng; töö; sööma; võistlus; mäng; geim; pall; tervis
8,7,8,5,6,6,5,4,7,10,energia; tennisemäng; töö; sööma; võistlus; mäng; geim; pall; tervis
7,7,8,5,7,5,6,4,6,10,energia; tennisemäng; töö; sööma; võistlus; mäng; geim; pall; tervis
7,7,7,5,7,4,6,7,6,10,energia; tennisemäng; töö; sööma; võistlus; mäng; geim; pall; tervis
7,7,7,5,7,4,7,6,7,10,energia; tennisemäng; töö; sööma; võistlus; mäng; geim; pall; tervis
7,7,7,6,7,7,7,7,7,10,energia; tennisemäng; töö; sööma; võistlus; geim; mäng; pall; tervis
7,8,7,7,7,8,7,7,8,10,energia; tennisemäng; töö; sööma; võistlus; mäng; geim; pall; tervis
4,8,7,8,6,8,7,8,8,10,energia; tennisemäng; töö; sööma; võistlus; mäng; geim; pall; tervis
4,8,7,5,6,6,7,7,7,10,energia; tennisemäng; töö; sööma; võistlus; mäng; geim; pall; tervis
3,8,8,5,7,7,7,7,6,10,energia; tennisemäng; töö; sööma; võistlus; mäng; geim; pall; tervis
