EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
10,10,7,11,6,7,8,9,10,15,institutsioon; sümboolne; kunstimaailm; reaalne; anders; kunstnik; kunstimuuseum; liit; kriitik; härm; publik; võim; kuraator
10,10,7,10,6,6,9,9,10,15,institutsioon; sümboolne; kunstimaailm; reaalne; anders; kunstnik; kunstimuuseum; liit; kriitik; härm; publik; võim; kuraator
9,10,9,10,6,6,9,9,10,15,institutsioon; sümboolne; kunstimaailm; reaalne; anders; kunstnik; kunstimuuseum; liit; kriitik; härm; publik; võim; kuraator
9,10,9,11,6,6,9,8,10,15,institutsioon; sümboolne; kunstimaailm; reaalne; anders; kunstnik; kunstimuuseum; liit; kriitik; härm; publik; võim; kuraator
9,10,9,13,6,6,8,9,10,15,institutsioon; sümboolne; kunstimaailm; reaalne; anders; kunstnik; kunstimuuseum; liit; kriitik; härm; publik; võim; kuraator
10,8,8,13,6,7,10,10,10,15,institutsioon; sümboolne; kunstimaailm; reaalne; anders; kunstnik; kunstimuuseum; liit; kriitik; härm; publik; võim; kuraator
7,7,11,10,7,7,9,12,9,15,institutsioon; sümboolne; kunstimaailm; reaalne; anders; kunstnik; liit; kunstimuuseum; kriitik; härm; publik; võim; kuraator
9,8,7,11,7,9,10,10,7,15,institutsioon; sümboolne; kunstimaailm; reaalne; kunstnik; kunstimuuseum; liit; kriitik; kuraator; härm; publik; võim; anders
8,9,6,10,9,10,8,12,8,15,institutsioon; sümboolne; kunstimaailm; reaalne; anders; kunstnik; kunstimuuseum; liit; kriitik; härm; publik; võim; kuraator
7,10,7,11,9,10,9,10,8,15,institutsioon; sümboolne; kunstimaailm; reaalne; anders; kunstnik; kunstimuuseum; liit; kriitik; härm; publik; võim; kuraator
7,10,10,11,9,10,9,10,10,15,institutsioon; sümboolne; kunstimaailm; reaalne; anders; kunstnik; liit; kunstimuuseum; kriitik; härm; publik; võim; kuraator
