EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,5,4,5,5,2,4,9,3,13,hapnik; veevarustussüsteem; filter; keskkonnakeemia; põhjavesi; reoaine; jaak; mürkkemikaal; joogiveemäärus; korrosioon; kvaliteet
7,5,5,5,5,2,5,9,3,13,hapnik; veevarustussüsteem; filter; keskkonnakeemia; põhjavesi; reoaine; jaak; mürkkemikaal; joogiveemäärus; korrosioon; kvaliteet
7,4,6,5,5,2,5,8,3,13,hapnik; veevarustussüsteem; filter; keskkonnakeemia; põhjavesi; reoaine; jaak; mürkkemikaal; joogiveemäärus; korrosioon; kvaliteet
7,4,7,5,5,2,4,8,3,13,hapnik; veevarustussüsteem; filter; keskkonnakeemia; põhjavesi; reoaine; jaak; mürkkemikaal; joogiveemäärus; korrosioon; kvaliteet
6,4,6,5,5,3,3,9,3,13,hapnik; veevarustussüsteem; filter; keskkonnakeemia; põhjavesi; reoaine; jaak; mürkkemikaal; joogiveemäärus; korrosioon; kvaliteet
4,4,5,7,5,4,5,8,2,13,põhjavesi; jaak; reoaine; mürkkemikaal; hapnik; veevarustussüsteem; filter; joogiveemäärus; keskkonnakeemia; korrosioon; kvaliteet
2,3,7,7,5,2,5,9,2,13,põhjavesi; jaak; reoaine; mürkkemikaal; veevarustussüsteem; hapnik; filter; joogiveemäärus; keskkonnakeemia; korrosioon; kvaliteet
3,4,7,6,6,4,5,8,4,13,põhjavesi; jaak; reoaine; mürkkemikaal; hapnik; veevarustussüsteem; filter; joogiveemäärus; keskkonnakeemia; korrosioon; kvaliteet
5,4,7,5,6,5,5,4,4,13,põhjavesi; jaak; reoaine; mürkkemikaal; hapnik; veevarustussüsteem; filter; joogiveemäärus; keskkonnakeemia; korrosioon; kvaliteet
5,3,4,6,5,4,5,6,5,13,põhjavesi; jaak; reoaine; mürkkemikaal; hapnik; veevarustussüsteem; filter; joogiveemäärus; keskkonnakeemia; korrosioon; kvaliteet
4,2,7,7,7,3,3,5,6,13,põhjavesi; jaak; reoaine; mürkkemikaal; hapnik; veevarustussüsteem; filter; joogiveemäärus; keskkonnakeemia; korrosioon; kvaliteet
