EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
10,7,8,11,8,11,12,11,11,15,raudsepp; töö; sümfooniaorkester; reimann; prelüüd; loominguline; tants; fuu; kirill; eesti; harri; klaverikontsert; ots; matti
11,7,8,11,8,10,12,10,11,15,raudsepp; töö; sümfooniaorkester; reimann; prelüüd; loominguline; tants; fuu; kirill; eesti; harri; klaverikontsert; ots; matti
11,7,8,11,8,12,12,10,11,15,raudsepp; töö; sümfooniaorkester; reimann; prelüüd; loominguline; tants; fuu; kirill; eesti; harri; klaverikontsert; ots; matti
13,7,11,11,9,13,12,11,11,15,raudsepp; töö; sümfooniaorkester; reimann; prelüüd; loominguline; tants; fuu; kirill; eesti; harri; klaverikontsert; ots; matti
13,7,12,10,9,13,12,12,11,15,raudsepp; töö; sümfooniaorkester; reimann; prelüüd; loominguline; tants; fuu; kirill; eesti; harri; klaverikontsert; ots; matti
12,7,12,9,9,13,10,11,11,15,raudsepp; töö; sümfooniaorkester; reimann; prelüüd; loominguline; tants; kirill; fuu; eesti; harri; klaverikontsert; ots; matti
9,8,12,11,10,13,10,12,12,15,raudsepp; töö; sümfooniaorkester; reimann; prelüüd; loominguline; tants; fuu; kirill; eesti; harri; klaverikontsert; ots; matti
9,8,13,11,10,10,10,13,12,15,raudsepp; töö; sümfooniaorkester; reimann; prelüüd; loominguline; tants; fuu; kirill; eesti; harri; klaverikontsert; ots; matti
8,9,13,12,10,12,10,12,13,15,raudsepp; töö; sümfooniaorkester; reimann; prelüüd; loominguline; tants; fuu; kirill; eesti; harri; klaverikontsert; ots; matti
8,8,12,9,11,10,10,12,14,15,raudsepp; töö; sümfooniaorkester; reimann; prelüüd; loominguline; tants; kirill; fuu; eesti; harri; klaverikontsert; ots; matti
7,10,13,8,11,9,9,12,13,15,raudsepp; töö; sümfooniaorkester; reimann; prelüüd; loominguline; tants; fuu; kirill; eesti; harri; klaverikontsert; ots; matti
