EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,5,6,6,5,5,7,7,7,12,kristjan; port; john; lamar; mccain; tsensuur; tarkus
6,5,6,6,5,5,7,7,7,12,kristjan; port; john; lamar; mccain; tsensuur; tarkus
6,5,6,6,5,5,7,6,7,12,kristjan; port; john; lamar; mccain; tsensuur; tarkus
6,5,6,7,6,5,7,6,7,12,kristjan; port; john; lamar; mccain; tsensuur; tarkus
6,6,6,7,7,5,7,6,7,12,kristjan; port; john; lamar; mccain; tsensuur; tarkus
6,7,7,7,7,7,7,6,6,12,kristjan; port; john; lamar; mccain; tsensuur; tarkus
7,6,7,7,7,7,7,7,7,12,kristjan; john; port; lamar; tsensuur; mccain; tarkus
7,5,7,7,7,7,7,7,7,12,kristjan; john; port; lamar; mccain; tsensuur; tarkus
7,6,7,7,7,7,7,7,7,12,kristjan; port; john; lamar; tsensuur; mccain; tarkus
7,6,7,7,7,7,7,7,7,12,kristjan; port; john; lamar; tsensuur; mccain; tarkus
6,6,7,7,7,7,7,7,7,12,kristjan; john; port; lamar; tsensuur; mccain; tarkus
