EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
9,6,4,9,7,6,6,6,7,11,muuseum; hääl; artikulatsioon; jaapan; tolstoi; buratino; ferdinand; aleksei; suusk
9,6,4,9,7,6,7,6,7,11,muuseum; hääl; artikulatsioon; jaapan; tolstoi; buratino; ferdinand; aleksei; suusk
9,7,4,9,7,7,7,6,7,11,muuseum; hääl; artikulatsioon; jaapan; tolstoi; buratino; ferdinand; aleksei; suusk
9,7,5,9,7,8,7,7,8,11,muuseum; hääl; artikulatsioon; jaapan; tolstoi; buratino; ferdinand; aleksei; suusk
8,8,5,9,7,7,7,7,8,11,muuseum; hääl; artikulatsioon; jaapan; tolstoi; buratino; ferdinand; aleksei; suusk
7,8,7,9,7,6,5,8,7,11,muuseum; hääl; artikulatsioon; jaapan; tolstoi; buratino; ferdinand; aleksei; suusk
6,8,8,9,7,7,8,9,8,11,muuseum; hääl; artikulatsioon; jaapan; tolstoi; buratino; ferdinand; aleksei; suusk
6,7,9,9,7,6,7,8,8,11,muuseum; hääl; artikulatsioon; jaapan; tolstoi; buratino; aleksei; ferdinand; suusk
4,6,9,8,7,7,7,9,8,11,muuseum; hääl; artikulatsioon; jaapan; tolstoi; buratino; aleksei; ferdinand; suusk
4,6,9,8,9,7,7,9,7,11,muuseum; hääl; artikulatsioon; jaapan; tolstoi; buratino; aleksei; ferdinand; suusk
4,6,9,8,8,7,7,9,8,11,muuseum; hääl; artikulatsioon; jaapan; tolstoi; buratino; aleksei; ferdinand; suusk
