EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
8,5,7,7,7,5,6,7,6,12,paul; darwin; süü; toomas; rõõm; tüdimus; aplus; seitse; ahnus; liialdus
8,5,7,7,7,5,6,7,6,12,paul; darwin; süü; toomas; rõõm; tüdimus; aplus; seitse; ahnus; liialdus
8,5,7,7,7,5,6,7,6,12,paul; darwin; süü; toomas; rõõm; tüdimus; aplus; seitse; ahnus; liialdus
8,5,8,7,7,5,6,7,5,12,paul; darwin; süü; toomas; rõõm; tüdimus; aplus; seitse; ahnus; liialdus
6,4,8,8,7,6,6,7,7,12,paul; darwin; süü; toomas; rõõm; tüdimus; aplus; seitse; ahnus; liialdus
7,5,8,6,8,8,6,7,7,12,paul; darwin; süü; toomas; rõõm; tüdimus; aplus; seitse; ahnus; liialdus
6,7,8,6,8,8,6,8,7,12,paul; darwin; toomas; rõõm; aplus; tüdimus; süü; seitse; ahnus; liialdus
9,5,7,5,8,7,8,9,7,12,paul; darwin; rõõm; süü; seitse; toomas; tüdimus; aplus; ahnus; liialdus
9,5,9,5,9,7,7,8,7,12,paul; darwin; rõõm; süü; seitse; toomas; tüdimus; aplus; ahnus; liialdus
9,5,9,6,9,8,7,8,8,12,paul; darwin; rõõm; süü; seitse; toomas; tüdimus; aplus; ahnus; liialdus
9,6,9,7,9,9,7,7,8,12,paul; darwin; rõõm; süü; seitse; toomas; tüdimus; aplus; ahnus; liialdus
