EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,7,3,4,3,2,4,3,5,14,festival; merivoo-parro; singer; maarja; raadio; mart; vinger; kristo; lavastus
6,7,3,4,3,2,4,3,5,14,festival; merivoo-parro; singer; maarja; raadio; mart; vinger; kristo; lavastus
6,6,3,4,3,2,4,3,6,14,festival; merivoo-parro; singer; maarja; raadio; mart; vinger; kristo; lavastus
6,6,5,4,4,3,4,4,6,14,festival; merivoo-parro; singer; maarja; raadio; mart; vinger; kristo; lavastus
6,6,6,6,4,3,4,5,6,14,festival; merivoo-parro; singer; maarja; raadio; mart; vinger; kristo; lavastus
6,5,6,6,3,5,4,6,6,14,festival; merivoo-parro; singer; maarja; raadio; mart; vinger; kristo; lavastus
5,5,6,9,3,8,5,6,5,14,festival; merivoo-parro; singer; maarja; raadio; mart; vinger; kristo; lavastus
4,5,5,9,4,7,4,6,6,14,festival; merivoo-parro; singer; maarja; raadio; mart; vinger; kristo; lavastus
4,5,6,9,4,4,4,5,4,14,festival; merivoo-parro; singer; maarja; raadio; mart; vinger; kristo; lavastus
3,5,8,8,6,4,3,5,5,14,festival; merivoo-parro; singer; maarja; raadio; mart; vinger; kristo; lavastus
5,4,8,6,7,4,3,5,5,14,festival; merivoo-parro; singer; maarja; raadio; mart; vinger; kristo; lavastus
