EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,6,9,7,2,8,7,9,7,12,kambja; rahvamuusika; popmuusika; muusika; lääne-aafrika; eikellegimaa; ansambel; nigeeria; rütmika; armee; prantsuse
7,6,8,7,2,8,8,9,7,12,kambja; rahvamuusika; popmuusika; muusika; lääne-aafrika; eikellegimaa; ansambel; nigeeria; rütmika; armee; prantsuse
6,5,9,6,3,8,8,9,7,12,kambja; rahvamuusika; popmuusika; nigeeria; armee; prantsuse; ansambel; muusika; lääne-aafrika; eikellegimaa; rütmika
6,6,9,6,3,8,8,9,7,12,kambja; rahvamuusika; popmuusika; nigeeria; armee; prantsuse; ansambel; muusika; lääne-aafrika; eikellegimaa; rütmika
5,7,9,6,3,8,8,9,5,12,kambja; rahvamuusika; popmuusika; nigeeria; armee; prantsuse; ansambel; muusika; lääne-aafrika; eikellegimaa; rütmika
8,6,11,7,2,7,8,9,8,12,kambja; rahvamuusika; popmuusika; nigeeria; armee; prantsuse; ansambel; muusika; lääne-aafrika; eikellegimaa; rütmika
9,9,9,7,4,9,9,8,7,12,kambja; rahvamuusika; popmuusika; nigeeria; armee; prantsuse; ansambel; muusika; lääne-aafrika; eikellegimaa; rütmika
7,9,9,7,6,7,4,10,7,12,kambja; rahvamuusika; popmuusika; nigeeria; armee; prantsuse; ansambel; muusika; lääne-aafrika; eikellegimaa; rütmika
6,8,6,7,6,8,6,7,8,12,kambja; rahvamuusika; popmuusika; nigeeria; armee; prantsuse; ansambel; muusika; eikellegimaa; lääne-aafrika; rütmika
5,8,7,7,8,8,3,6,8,12,kambja; rahvamuusika; popmuusika; armee; nigeeria; prantsuse; ansambel; muusika; eikellegimaa; lääne-aafrika; rütmika
5,6,6,6,8,6,5,8,7,12,kambja; rahvamuusika; popmuusika; armee; nigeeria; prantsuse; ansambel; muusika; lääne-aafrika; eikellegimaa; rütmika
