EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
11,7,6,4,5,10,8,7,7,14,esinemine; lava; näitleja; endel; paat; vanemuine; nikerdamine; puutükk; teater; spinning; ani; hirm; elmar; salulaht
11,7,5,4,6,10,9,7,7,14,esinemine; lava; näitleja; endel; paat; vanemuine; nikerdamine; puutükk; teater; spinning; ani; hirm; elmar; salulaht
11,7,6,5,7,10,9,8,7,14,esinemine; lava; näitleja; endel; paat; vanemuine; nikerdamine; puutükk; teater; spinning; ani; hirm; elmar; salulaht
11,9,7,6,7,10,9,8,7,14,esinemine; lava; näitleja; endel; paat; vanemuine; nikerdamine; puutükk; teater; spinning; ani; hirm; elmar; salulaht
10,9,10,6,8,10,9,8,7,14,esinemine; lava; näitleja; endel; paat; vanemuine; puutükk; nikerdamine; teater; spinning; ani; hirm; elmar; salulaht
11,9,8,7,7,10,10,8,7,14,esinemine; lava; näitleja; endel; paat; vanemuine; nikerdamine; puutükk; teater; spinning; ani; hirm; elmar; salulaht
10,10,6,9,10,8,7,10,6,14,esinemine; lava; näitleja; endel; paat; vanemuine; nikerdamine; puutükk; teater; spinning; ani; hirm; elmar; salulaht
8,11,8,11,10,8,7,10,7,14,esinemine; lava; näitleja; endel; paat; vanemuine; nikerdamine; puutükk; teater; spinning; ani; hirm; elmar; salulaht
10,7,8,11,10,8,5,9,7,14,esinemine; lava; näitleja; endel; paat; vanemuine; puutükk; nikerdamine; teater; spinning; ani; hirm; elmar; salulaht
6,11,9,10,10,7,5,10,7,14,esinemine; lava; näitleja; endel; paat; nikerdamine; puutükk; vanemuine; teater; spinning; ani; hirm; elmar; salulaht
8,11,8,9,11,6,5,8,7,14,esinemine; lava; näitleja; endel; paat; vanemuine; nikerdamine; puutükk; teater; spinning; ani; hirm; elmar; salulaht
