EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
8,9,5,11,5,11,10,9,9,15,võistkond; lisalaeng; paul; turniir; partii; meister; naiskond; keres; eesti; hendrik; maletaja; klubi; malering
8,9,6,11,5,11,11,9,9,15,võistkond; lisalaeng; paul; turniir; partii; meister; naiskond; keres; eesti; hendrik; maletaja; klubi; malering
9,10,8,11,5,12,11,9,9,15,võistkond; lisalaeng; paul; turniir; partii; naiskond; meister; keres; eesti; hendrik; maletaja; klubi; malering
11,10,9,11,5,13,10,10,9,15,võistkond; lisalaeng; paul; turniir; partii; naiskond; meister; keres; eesti; hendrik; maletaja; klubi; malering
10,9,10,10,5,10,12,11,9,15,võistkond; lisalaeng; paul; turniir; partii; naiskond; meister; keres; eesti; hendrik; maletaja; klubi; malering
11,9,8,9,6,11,9,12,9,15,võistkond; lisalaeng; paul; turniir; partii; naiskond; meister; keres; eesti; hendrik; maletaja; klubi; malering
10,10,9,8,7,10,12,12,10,15,võistkond; lisalaeng; paul; turniir; partii; naiskond; meister; keres; eesti; hendrik; maletaja; klubi; malering
9,9,11,7,9,9,12,9,9,15,võistkond; lisalaeng; paul; turniir; partii; naiskond; meister; keres; eesti; hendrik; maletaja; klubi; malering
10,7,11,7,9,9,8,10,9,15,võistkond; lisalaeng; paul; turniir; partii; naiskond; meister; keres; eesti; hendrik; maletaja; klubi; malering
9,7,11,7,9,10,10,10,7,15,võistkond; lisalaeng; paul; turniir; partii; naiskond; meister; keres; eesti; hendrik; maletaja; klubi; malering
11,9,11,9,10,10,9,11,8,15,võistkond; lisalaeng; paul; turniir; partii; naiskond; meister; keres; eesti; hendrik; maletaja; klubi; malering
