EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
12,7,9,9,6,8,6,10,6,13,saepuru; akadeemia; toru; põllumaa; uno; eesti; buldooser; vesi; pauts; sügavus; ekskavaator; põllumajandus
12,7,9,9,8,8,7,10,6,13,saepuru; akadeemia; toru; põllumaa; uno; eesti; buldooser; vesi; pauts; sügavus; ekskavaator; põllumajandus
12,7,11,9,8,8,7,10,6,13,saepuru; akadeemia; toru; põllumaa; uno; eesti; buldooser; vesi; pauts; sügavus; ekskavaator; põllumajandus
12,7,10,9,8,8,7,10,6,13,saepuru; akadeemia; toru; põllumaa; uno; eesti; buldooser; vesi; pauts; sügavus; ekskavaator; põllumajandus
12,7,11,9,7,8,8,11,6,13,saepuru; akadeemia; toru; põllumaa; uno; eesti; buldooser; vesi; pauts; sügavus; ekskavaator; põllumajandus
12,7,11,10,7,9,8,9,7,13,saepuru; akadeemia; toru; põllumaa; uno; eesti; buldooser; vesi; pauts; sügavus; ekskavaator; põllumajandus
12,7,10,12,8,9,10,11,7,13,saepuru; akadeemia; toru; põllumaa; uno; eesti; buldooser; vesi; pauts; sügavus; ekskavaator; põllumajandus
8,7,11,11,8,10,9,12,8,13,saepuru; akadeemia; toru; põllumaa; uno; eesti; buldooser; vesi; pauts; sügavus; ekskavaator; põllumajandus
7,7,11,9,9,8,7,12,9,13,saepuru; akadeemia; toru; põllumaa; uno; eesti; buldooser; vesi; pauts; sügavus; ekskavaator; põllumajandus
8,6,9,10,10,8,6,10,8,13,saepuru; akadeemia; toru; põllumaa; uno; eesti; buldooser; vesi; pauts; sügavus; ekskavaator; põllumajandus
6,7,10,10,9,8,7,11,8,13,saepuru; akadeemia; toru; põllumaa; uno; eesti; buldooser; vesi; pauts; sügavus; ekskavaator; põllumajandus
