EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
12,12,12,12,12,12,12,12,12,15,põlendik; jürgens; meesnäitleja; tõnu; lasmann; peeter; piret; kriivan; rõõm; toomas; kadri; enesekindlus
12,12,12,12,12,12,12,12,12,15,põlendik; jürgens; meesnäitleja; tõnu; lasmann; peeter; piret; kriivan; rõõm; toomas; kadri; enesekindlus
12,12,12,12,12,12,12,12,12,15,põlendik; jürgens; meesnäitleja; tõnu; lasmann; peeter; piret; kriivan; rõõm; toomas; kadri; enesekindlus
12,12,12,12,12,12,12,12,12,15,põlendik; jürgens; meesnäitleja; tõnu; lasmann; peeter; piret; kriivan; rõõm; toomas; kadri; enesekindlus
12,12,12,12,12,12,12,12,12,15,põlendik; jürgens; meesnäitleja; tõnu; lasmann; peeter; piret; kriivan; rõõm; toomas; kadri; enesekindlus
12,12,12,12,12,12,12,12,12,15,põlendik; jürgens; meesnäitleja; tõnu; lasmann; peeter; piret; kriivan; rõõm; toomas; kadri; enesekindlus
12,12,12,12,12,12,12,12,12,15,põlendik; jürgens; meesnäitleja; tõnu; lasmann; peeter; piret; kriivan; rõõm; toomas; kadri; enesekindlus
12,12,12,12,12,12,12,12,12,15,põlendik; jürgens; meesnäitleja; tõnu; lasmann; peeter; piret; kriivan; rõõm; toomas; kadri; enesekindlus
12,12,12,12,12,12,12,12,12,15,põlendik; jürgens; meesnäitleja; tõnu; lasmann; peeter; piret; kriivan; rõõm; toomas; kadri; enesekindlus
12,12,12,12,12,12,12,12,12,15,põlendik; jürgens; meesnäitleja; tõnu; lasmann; peeter; piret; kriivan; rõõm; toomas; kadri; enesekindlus
12,12,12,12,12,12,12,12,12,15,põlendik; jürgens; meesnäitleja; tõnu; lasmann; peeter; piret; kriivan; rõõm; toomas; kadri; enesekindlus
