EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
10,10,9,8,4,8,7,8,6,11,väliseestlane; kanakasvataja; austraalia; ludwig; eesti; puhkama; hoolitsemine; maastik; meeleliigutus; asundus; külaline
9,10,8,8,4,7,7,8,6,11,väliseestlane; kanakasvataja; austraalia; ludwig; eesti; puhkama; hoolitsemine; maastik; meeleliigutus; asundus; külaline
9,10,8,8,4,7,7,8,6,11,väliseestlane; kanakasvataja; austraalia; ludwig; eesti; puhkama; hoolitsemine; maastik; meeleliigutus; asundus; külaline
9,10,8,8,4,8,7,8,6,11,väliseestlane; kanakasvataja; austraalia; ludwig; eesti; puhkama; hoolitsemine; maastik; meeleliigutus; asundus; külaline
9,10,9,8,4,8,7,8,6,11,väliseestlane; kanakasvataja; austraalia; ludwig; eesti; puhkama; hoolitsemine; maastik; meeleliigutus; asundus; külaline
9,9,9,6,5,9,7,9,6,11,kanakasvataja; austraalia; külaline; ludwig; eesti; puhkama; hoolitsemine; maastik; meeleliigutus; asundus; väliseestlane
9,10,10,6,5,9,7,10,6,11,väliseestlane; kanakasvataja; austraalia; ludwig; eesti; puhkama; hoolitsemine; maastik; meeleliigutus; asundus; külaline
8,9,11,6,5,7,8,9,7,11,väliseestlane; kanakasvataja; austraalia; ludwig; eesti; puhkama; hoolitsemine; maastik; meeleliigutus; asundus; külaline
8,8,9,7,5,9,8,9,6,11,kanakasvataja; austraalia; külaline; ludwig; eesti; puhkama; hoolitsemine; maastik; meeleliigutus; asundus; väliseestlane
9,9,10,8,6,9,10,9,4,11,kanakasvataja; austraalia; külaline; ludwig; eesti; puhkama; hoolitsemine; maastik; meeleliigutus; asundus; väliseestlane
8,8,8,7,6,7,10,10,5,11,kanakasvataja; austraalia; külaline; ludwig; eesti; puhkama; hoolitsemine; maastik; meeleliigutus; asundus; väliseestlane
