EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
9,9,9,8,6,6,5,8,9,11,taanlane; inglane; saarlane; õppus; kaitseliit; lapiline; keel; muhu; tehnika; saar
9,9,10,8,7,6,5,8,9,11,taanlane; inglane; saarlane; õppus; kaitseliit; lapiline; keel; muhu; tehnika; saar
9,9,10,8,7,6,5,8,9,11,taanlane; inglane; saarlane; õppus; kaitseliit; lapiline; keel; muhu; tehnika; saar
9,8,10,8,7,6,5,8,9,11,taanlane; inglane; saarlane; õppus; kaitseliit; lapiline; keel; muhu; tehnika; saar
9,8,10,9,6,7,6,8,9,11,taanlane; inglane; saarlane; õppus; kaitseliit; lapiline; keel; muhu; tehnika; saar
10,7,10,10,6,8,8,9,9,11,taanlane; inglane; saarlane; õppus; kaitseliit; lapiline; keel; muhu; tehnika; saar
10,7,10,10,8,10,9,10,9,11,taanlane; inglane; saarlane; õppus; kaitseliit; lapiline; keel; muhu; tehnika; saar
10,6,10,9,8,9,9,10,9,11,taanlane; inglane; saarlane; õppus; kaitseliit; lapiline; keel; muhu; tehnika; saar
9,7,10,9,9,10,10,10,10,11,taanlane; inglane; saarlane; õppus; kaitseliit; lapiline; keel; muhu; tehnika; saar
9,7,10,10,9,10,10,10,10,11,taanlane; inglane; saarlane; õppus; kaitseliit; lapiline; keel; muhu; tehnika; saar
9,7,10,10,10,10,10,9,9,11,taanlane; inglane; saarlane; õppus; kaitseliit; lapiline; keel; muhu; tehnika; saar
