EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
3,6,3,3,5,3,3,3,6,13,reimand; indrek; kriivan; eesti; keel; palk; piret; ministeerium
4,5,3,4,5,3,3,3,6,13,reimand; indrek; kriivan; eesti; keel; palk; piret; ministeerium
6,5,3,5,5,3,3,3,6,13,reimand; indrek; kriivan; eesti; keel; palk; piret; ministeerium
6,5,3,5,5,3,3,3,6,13,reimand; indrek; kriivan; eesti; keel; palk; piret; ministeerium
6,6,5,5,5,4,4,3,6,13,reimand; indrek; kriivan; eesti; keel; palk; piret; ministeerium
7,5,6,5,6,4,4,6,6,13,reimand; indrek; kriivan; eesti; keel; palk; piret; ministeerium
6,5,7,6,7,6,6,7,6,13,reimand; indrek; kriivan; eesti; keel; palk; piret; ministeerium
6,7,7,5,6,6,5,8,6,13,reimand; indrek; kriivan; eesti; keel; palk; piret; ministeerium
5,7,8,6,7,6,6,8,8,13,reimand; indrek; kriivan; eesti; keel; palk; piret; ministeerium
5,6,7,6,7,6,6,8,6,13,reimand; indrek; kriivan; eesti; keel; palk; piret; ministeerium
5,7,8,6,8,7,6,8,6,13,reimand; indrek; kriivan; eesti; keel; palk; piret; ministeerium
