EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
8,9,5,7,7,8,5,6,6,12,villem; telling; kristus; kubi; ilus; proua; eduard; hobune; mõisavalitseja; karjapoiss; mõisnik
8,9,5,7,7,8,5,7,6,12,villem; telling; kristus; kubi; ilus; proua; eduard; hobune; mõisavalitseja; karjapoiss; mõisnik
8,9,4,7,7,9,6,7,7,12,villem; telling; kristus; kubi; ilus; proua; eduard; hobune; mõisavalitseja; karjapoiss; mõisnik
7,8,4,7,7,9,8,7,7,12,villem; telling; kristus; kubi; ilus; proua; eduard; hobune; mõisavalitseja; karjapoiss; mõisnik
7,8,5,6,7,10,8,8,7,12,villem; telling; kristus; kubi; ilus; proua; eduard; hobune; mõisavalitseja; karjapoiss; mõisnik
6,8,6,7,7,8,8,9,7,12,villem; telling; kristus; kubi; ilus; proua; eduard; hobune; mõisavalitseja; karjapoiss; mõisnik
5,6,6,9,7,9,8,8,7,12,kristus; telling; villem; kubi; ilus; proua; eduard; hobune; mõisavalitseja; karjapoiss; mõisnik
5,7,5,9,7,8,8,8,6,12,kristus; villem; telling; kubi; ilus; proua; eduard; hobune; mõisavalitseja; karjapoiss; mõisnik
6,4,8,8,6,7,8,8,6,12,villem; kristus; telling; kubi; ilus; proua; eduard; mõisavalitseja; hobune; karjapoiss; mõisnik
6,2,7,8,7,5,7,9,8,12,villem; kristus; telling; kubi; ilus; proua; eduard; mõisavalitseja; hobune; karjapoiss; mõisnik
5,4,7,7,6,6,7,8,8,12,kristus; villem; telling; kubi; ilus; proua; eduard; mõisavalitseja; hobune; karjapoiss; mõisnik
