EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
8,7,8,8,3,7,8,7,6,13,jüri; piir; mesilane; kreeka; hobune; sanktsioon; sobak; eurovisioon; migrant; tööjõupuudus; kristi
8,7,8,8,3,7,8,7,6,13,jüri; piir; mesilane; kreeka; hobune; sanktsioon; sobak; eurovisioon; migrant; tööjõupuudus; kristi
8,7,7,8,4,7,8,7,5,13,jüri; piir; mesilane; kreeka; hobune; sanktsioon; sobak; eurovisioon; migrant; tööjõupuudus; kristi
7,7,8,8,5,8,8,8,5,13,jüri; piir; mesilane; kreeka; hobune; sanktsioon; sobak; eurovisioon; migrant; tööjõupuudus; kristi
7,7,9,7,5,8,9,9,5,13,jüri; piir; mesilane; kreeka; hobune; sanktsioon; sobak; eurovisioon; migrant; tööjõupuudus; kristi
5,7,8,7,6,7,9,9,5,13,jüri; piir; mesilane; kreeka; hobune; sanktsioon; sobak; eurovisioon; migrant; tööjõupuudus; kristi
7,7,9,7,7,7,8,9,5,13,jüri; piir; mesilane; kreeka; hobune; sanktsioon; sobak; eurovisioon; migrant; tööjõupuudus; kristi
6,7,9,8,8,9,9,9,5,13,jüri; piir; mesilane; kreeka; hobune; sanktsioon; sobak; eurovisioon; migrant; tööjõupuudus; kristi
7,8,10,6,8,9,10,10,6,13,jüri; piir; mesilane; kreeka; hobune; sanktsioon; sobak; eurovisioon; migrant; tööjõupuudus; kristi
6,8,9,7,8,9,9,10,7,13,jüri; piir; mesilane; kreeka; hobune; sanktsioon; sobak; eurovisioon; migrant; tööjõupuudus; kristi
6,7,9,7,8,9,9,11,8,13,jüri; piir; mesilane; kreeka; hobune; sanktsioon; sobak; eurovisioon; migrant; tööjõupuudus; kristi
