EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
8,9,9,9,9,9,9,9,9,13,misjon; paavst; issand; johannes; püha; jumal; troon; kolmas; gregorius
8,9,9,9,9,9,9,9,9,13,misjon; paavst; issand; johannes; püha; jumal; troon; kolmas; gregorius
8,9,9,9,9,9,9,9,9,13,misjon; paavst; issand; johannes; püha; jumal; troon; kolmas; gregorius
8,9,9,9,9,9,9,9,9,13,misjon; paavst; issand; johannes; püha; jumal; troon; kolmas; gregorius
8,8,9,9,9,9,9,9,9,13,misjon; paavst; issand; johannes; püha; jumal; troon; kolmas; gregorius
9,9,9,9,9,9,9,9,9,13,misjon; paavst; issand; johannes; püha; jumal; troon; kolmas; gregorius
9,9,9,9,9,9,9,9,9,13,misjon; paavst; issand; johannes; püha; jumal; troon; kolmas; gregorius
9,9,9,9,9,9,9,9,9,13,misjon; paavst; issand; johannes; püha; jumal; troon; kolmas; gregorius
9,9,9,9,9,9,9,9,9,13,misjon; paavst; issand; johannes; püha; jumal; troon; kolmas; gregorius
9,9,9,9,9,9,9,9,9,13,misjon; paavst; issand; johannes; püha; jumal; troon; kolmas; gregorius
9,9,9,9,9,9,9,9,9,13,misjon; paavst; issand; johannes; püha; jumal; troon; kolmas; gregorius
