EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
9,8,6,7,5,5,6,6,8,16,ukraina; hans; julgeolekunõukogu; õhurünnak; tõnu; üro; jalgpall; kooliturvalisus; koolitulistamine; käsipall; nädal; meistrivõistlus; restoran
8,7,6,7,5,6,7,6,8,16,ukraina; hans; julgeolekunõukogu; õhurünnak; tõnu; üro; jalgpall; kooliturvalisus; koolitulistamine; käsipall; nädal; meistrivõistlus; restoran
8,7,7,7,5,6,7,6,8,16,ukraina; hans; julgeolekunõukogu; õhurünnak; tõnu; üro; jalgpall; kooliturvalisus; koolitulistamine; käsipall; nädal; meistrivõistlus; restoran
10,6,8,7,6,5,7,7,8,16,ukraina; hans; julgeolekunõukogu; õhurünnak; tõnu; üro; jalgpall; kooliturvalisus; koolitulistamine; käsipall; nädal; meistrivõistlus; restoran
8,6,6,7,6,5,8,8,7,16,ukraina; hans; julgeolekunõukogu; õhurünnak; tõnu; üro; jalgpall; kooliturvalisus; koolitulistamine; käsipall; nädal; meistrivõistlus; restoran
7,7,9,8,4,8,8,10,7,16,ukraina; hans; julgeolekunõukogu; õhurünnak; tõnu; üro; jalgpall; kooliturvalisus; koolitulistamine; käsipall; nädal; meistrivõistlus; restoran
7,6,10,8,6,7,9,9,9,16,ukraina; hans; julgeolekunõukogu; õhurünnak; tõnu; üro; jalgpall; kooliturvalisus; koolitulistamine; käsipall; nädal; meistrivõistlus; restoran
7,6,10,9,7,7,8,10,9,16,ukraina; hans; julgeolekunõukogu; õhurünnak; tõnu; üro; jalgpall; kooliturvalisus; koolitulistamine; käsipall; nädal; meistrivõistlus; restoran
6,6,8,10,7,7,10,7,9,16,ukraina; hans; julgeolekunõukogu; õhurünnak; tõnu; üro; jalgpall; kooliturvalisus; koolitulistamine; käsipall; nädal; meistrivõistlus; restoran
6,6,9,8,9,8,7,6,7,16,ukraina; hans; julgeolekunõukogu; õhurünnak; tõnu; üro; jalgpall; kooliturvalisus; koolitulistamine; käsipall; nädal; meistrivõistlus; restoran
5,5,8,9,7,8,7,6,7,16,ukraina; hans; julgeolekunõukogu; õhurünnak; tõnu; üro; jalgpall; kooliturvalisus; koolitulistamine; käsipall; nädal; meistrivõistlus; restoran
