EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
11,8,5,10,10,8,7,9,7,16,arm; vaike; mets; mait; laul; tantsupidu; hing; rõõmupisar; proov; agu; tantsima; tantsurühm; maa
12,8,5,11,10,8,8,10,7,16,arm; vaike; mets; mait; laul; tantsupidu; hing; rõõmupisar; proov; agu; tantsima; tantsurühm; maa
12,8,5,11,10,8,8,10,7,16,arm; vaike; mets; mait; laul; tantsupidu; hing; rõõmupisar; proov; agu; tantsima; tantsurühm; maa
11,8,5,10,9,9,8,11,7,16,arm; vaike; mets; mait; laul; tantsupidu; hing; rõõmupisar; proov; agu; tantsima; tantsurühm; maa
11,9,6,10,10,10,8,11,7,16,arm; vaike; mets; mait; laul; tantsupidu; hing; rõõmupisar; proov; agu; tantsima; tantsurühm; maa
11,8,9,11,10,10,8,11,8,16,arm; vaike; mets; mait; laul; tantsupidu; hing; rõõmupisar; proov; agu; tantsima; tantsurühm; maa
12,9,10,12,9,12,8,11,8,16,arm; vaike; mets; mait; laul; tantsupidu; hing; rõõmupisar; proov; agu; tantsima; tantsurühm; maa
11,9,13,12,11,12,10,12,8,16,arm; vaike; mets; mait; laul; tantsupidu; hing; rõõmupisar; proov; agu; tantsima; tantsurühm; maa
12,9,12,11,10,11,10,12,10,16,arm; vaike; mets; mait; laul; tantsupidu; hing; rõõmupisar; proov; agu; tantsima; tantsurühm; maa
11,8,12,10,11,13,10,12,11,16,arm; vaike; mets; mait; laul; tantsupidu; hing; rõõmupisar; proov; agu; tantsima; tantsurühm; maa
10,10,11,11,11,10,10,12,10,16,arm; vaike; mets; mait; laul; tantsupidu; hing; rõõmupisar; proov; agu; tantsima; tantsurühm; maa
