EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
5,4,5,7,6,4,4,2,4,11,kristi; keemia; koolitus; ilves; pidu; naturaalne; kohv
5,4,5,7,6,4,4,2,4,11,kristi; keemia; koolitus; ilves; pidu; naturaalne; kohv
5,4,5,7,6,4,4,2,4,11,kristi; keemia; koolitus; ilves; pidu; naturaalne; kohv
6,4,6,7,6,5,4,3,4,11,kristi; keemia; ilves; koolitus; pidu; naturaalne; kohv
6,4,5,7,6,5,4,3,6,11,kristi; keemia; ilves; koolitus; pidu; naturaalne; kohv
6,4,6,7,6,5,5,5,6,11,kristi; keemia; ilves; koolitus; pidu; naturaalne; kohv
6,5,7,6,6,7,7,7,6,11,kristi; keemia; ilves; koolitus; pidu; naturaalne; kohv
7,4,7,6,6,7,7,7,6,11,kristi; keemia; koolitus; ilves; pidu; naturaalne; kohv
7,5,7,5,6,7,7,7,7,11,kristi; keemia; koolitus; ilves; pidu; naturaalne; kohv
7,5,7,5,7,7,7,7,7,11,kristi; keemia; koolitus; ilves; pidu; naturaalne; kohv
7,6,7,5,7,7,7,7,7,11,kristi; keemia; koolitus; ilves; pidu; naturaalne; kohv
