EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
13,13,13,12,12,12,12,13,13,15,iraan; kasekamp; programm; kana; uus; hääl; senjorii; andres; televisioon; kanada; aasta; trump; jäähoki
13,13,13,12,12,12,12,13,13,15,iraan; kasekamp; programm; kana; uus; hääl; senjorii; andres; televisioon; kanada; aasta; trump; jäähoki
13,13,13,12,12,12,12,13,13,15,iraan; kasekamp; programm; kana; uus; hääl; senjorii; andres; televisioon; kanada; aasta; trump; jäähoki
13,13,13,12,12,12,12,13,13,15,iraan; kasekamp; programm; kana; uus; hääl; senjorii; andres; televisioon; kanada; aasta; trump; jäähoki
13,13,13,12,12,12,12,13,13,15,iraan; kasekamp; programm; kana; uus; hääl; senjorii; andres; televisioon; kanada; aasta; trump; jäähoki
13,12,13,12,13,13,13,13,13,15,iraan; kasekamp; programm; kana; uus; hääl; senjorii; andres; televisioon; kanada; aasta; trump; jäähoki
11,13,13,12,13,13,13,13,13,15,iraan; kasekamp; programm; hääl; uus; kana; senjorii; andres; televisioon; kanada; aasta; trump; jäähoki
12,13,13,13,13,13,13,13,12,15,iraan; kasekamp; programm; hääl; uus; kana; senjorii; andres; televisioon; kanada; aasta; trump; jäähoki
12,13,13,13,13,13,13,13,12,15,iraan; kasekamp; programm; hääl; uus; kana; senjorii; andres; televisioon; kanada; aasta; trump; jäähoki
12,13,13,13,13,13,13,13,13,15,iraan; kasekamp; programm; hääl; uus; kana; senjorii; andres; televisioon; kanada; aasta; trump; jäähoki
12,13,13,13,13,13,13,13,13,15,iraan; kasekamp; programm; hääl; uus; kana; senjorii; andres; televisioon; kanada; aasta; trump; jäähoki
