EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,5,3,4,4,7,3,4,4,11,mikomägi; panso; rapla; kriitika; intervjuu; näitleja; teatrikool; voldemar; teater
7,5,4,5,5,7,4,4,4,11,mikomägi; panso; rapla; kriitika; intervjuu; näitleja; teatrikool; voldemar; teater
7,5,5,5,5,8,5,4,4,11,mikomägi; panso; rapla; kriitika; intervjuu; näitleja; teatrikool; voldemar; teater
7,5,7,6,5,8,7,5,4,11,mikomägi; panso; rapla; kriitika; intervjuu; näitleja; teatrikool; voldemar; teater
6,7,5,6,5,8,7,6,4,11,mikomägi; panso; rapla; kriitika; intervjuu; teatrikool; näitleja; voldemar; teater
5,7,4,6,5,7,7,5,4,11,mikomägi; panso; rapla; kriitika; intervjuu; teatrikool; näitleja; voldemar; teater
5,7,7,8,5,8,3,6,4,11,mikomägi; panso; rapla; kriitika; intervjuu; näitleja; teatrikool; voldemar; teater
4,7,8,9,5,8,3,4,4,11,mikomägi; kriitika; rapla; panso; intervjuu; näitleja; teatrikool; voldemar; teater
3,6,7,8,6,6,5,3,4,11,mikomägi; kriitika; rapla; panso; intervjuu; näitleja; teatrikool; voldemar; teater
4,5,6,5,7,6,4,3,4,11,mikomägi; kriitika; rapla; panso; intervjuu; näitleja; teatrikool; voldemar; teater
4,5,6,5,7,4,6,4,4,11,mikomägi; kriitika; rapla; panso; intervjuu; näitleja; teatrikool; voldemar; teater
