EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,6,3,4,5,4,6,5,5,15,haldjas; luksuslik; amsterdam; paruness; loss; park; ehitama
6,6,3,4,5,4,6,5,5,15,haldjas; luksuslik; amsterdam; paruness; loss; park; ehitama
6,6,4,4,6,4,6,5,5,15,haldjas; luksuslik; amsterdam; paruness; loss; park; ehitama
5,6,5,4,6,4,5,4,5,15,haldjas; luksuslik; amsterdam; paruness; loss; park; ehitama
5,5,6,4,6,6,4,4,5,15,haldjas; luksuslik; amsterdam; paruness; loss; park; ehitama
4,5,6,3,5,6,6,4,5,15,haldjas; luksuslik; amsterdam; paruness; loss; park; ehitama
5,6,5,5,5,7,5,5,6,15,haldjas; luksuslik; amsterdam; paruness; loss; park; ehitama
5,5,5,6,5,5,6,5,6,15,haldjas; luksuslik; amsterdam; paruness; loss; park; ehitama
4,3,5,6,5,7,6,5,6,15,haldjas; luksuslik; amsterdam; paruness; loss; park; ehitama
5,3,4,5,5,6,5,6,5,15,haldjas; luksuslik; amsterdam; paruness; loss; park; ehitama
4,3,3,5,5,6,5,4,5,15,haldjas; luksuslik; amsterdam; paruness; loss; park; ehitama
