EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
12,12,12,12,12,12,12,12,12,13,martin; salaja; noorsooühing; vangla; nurk; sidepidamine; ämber; kommunistlik; ajaleht; aasta; raamat; kiri
12,12,12,12,12,12,12,12,12,13,martin; salaja; noorsooühing; vangla; nurk; sidepidamine; ämber; kommunistlik; ajaleht; aasta; raamat; kiri
12,12,12,12,12,12,12,12,12,13,martin; salaja; noorsooühing; vangla; nurk; sidepidamine; ämber; kommunistlik; ajaleht; aasta; raamat; kiri
12,12,12,12,12,12,12,12,12,13,martin; salaja; noorsooühing; vangla; nurk; sidepidamine; ämber; kommunistlik; ajaleht; aasta; raamat; kiri
12,12,12,12,12,12,12,12,12,13,martin; salaja; noorsooühing; vangla; nurk; sidepidamine; ämber; kommunistlik; ajaleht; aasta; raamat; kiri
12,12,12,12,12,12,12,12,12,13,martin; salaja; noorsooühing; vangla; nurk; sidepidamine; ämber; kommunistlik; ajaleht; aasta; raamat; kiri
12,12,12,12,12,12,12,12,12,13,martin; salaja; noorsooühing; vangla; nurk; sidepidamine; ämber; kommunistlik; ajaleht; aasta; raamat; kiri
12,12,12,12,12,12,12,12,12,13,martin; salaja; noorsooühing; vangla; nurk; sidepidamine; ämber; kommunistlik; ajaleht; aasta; raamat; kiri
12,12,12,12,12,12,12,12,12,13,martin; salaja; noorsooühing; vangla; nurk; sidepidamine; ämber; kommunistlik; ajaleht; aasta; raamat; kiri
12,12,12,12,12,12,12,12,12,13,martin; salaja; noorsooühing; vangla; nurk; sidepidamine; ämber; kommunistlik; ajaleht; aasta; raamat; kiri
12,12,12,12,12,12,12,12,12,13,martin; salaja; noorsooühing; vangla; nurk; sidepidamine; ämber; kommunistlik; ajaleht; aasta; raamat; kiri
