EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
4,5,4,5,5,4,4,7,6,12,julgus; ülikool; hall; näitleja; eriline; aule; mass; tasuline; raha; ajakirjandus; kristi; lavakas
5,5,6,7,5,5,4,7,6,12,julgus; ülikool; hall; näitleja; lavakas; mass; raha; ajakirjandus; eriline; aule; tasuline; kristi
7,5,8,7,6,4,4,7,7,12,julgus; ülikool; hall; näitleja; lavakas; mass; raha; ajakirjandus; eriline; aule; tasuline; kristi
7,5,9,8,4,5,5,7,7,12,julgus; ülikool; hall; näitleja; lavakas; mass; raha; ajakirjandus; eriline; aule; tasuline; kristi
7,5,9,7,4,5,7,6,7,12,julgus; ülikool; hall; näitleja; lavakas; mass; raha; ajakirjandus; eriline; aule; tasuline; kristi
7,6,9,8,6,8,8,10,6,12,julgus; ülikool; hall; näitleja; lavakas; mass; raha; ajakirjandus; eriline; aule; tasuline; kristi
6,7,10,10,6,8,10,9,6,12,julgus; ülikool; hall; näitleja; lavakas; mass; raha; ajakirjandus; eriline; aule; tasuline; kristi
6,7,8,10,8,9,12,10,6,12,julgus; ülikool; hall; näitleja; lavakas; mass; raha; ajakirjandus; eriline; aule; tasuline; kristi
7,6,10,9,6,8,9,10,6,12,julgus; ülikool; hall; näitleja; lavakas; mass; raha; ajakirjandus; eriline; aule; tasuline; kristi
7,7,10,8,6,8,8,10,6,12,julgus; ülikool; hall; näitleja; mass; raha; ajakirjandus; kristi; eriline; aule; tasuline; lavakas
7,6,9,7,7,11,7,7,6,12,julgus; ülikool; hall; näitleja; lavakas; mass; raha; ajakirjandus; eriline; aule; tasuline; kristi
