EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,6,6,6,6,6,6,6,6,10,ajutine; säuts; koer; õpilane; haridus; määrus
6,6,6,6,6,6,6,6,6,10,ajutine; säuts; koer; õpilane; haridus; määrus
6,6,6,6,6,6,6,6,6,10,ajutine; säuts; koer; õpilane; haridus; määrus
6,6,6,6,6,6,6,6,6,10,ajutine; säuts; koer; õpilane; haridus; määrus
6,6,6,6,6,6,6,6,6,10,ajutine; säuts; koer; õpilane; haridus; määrus
6,6,6,6,6,6,6,6,6,10,ajutine; säuts; koer; õpilane; haridus; määrus
6,6,6,6,6,6,6,6,6,10,ajutine; säuts; koer; õpilane; haridus; määrus
6,6,6,6,6,6,6,6,6,10,ajutine; säuts; koer; õpilane; haridus; määrus
6,6,6,6,6,6,6,6,6,10,ajutine; säuts; koer; õpilane; haridus; määrus
6,6,6,6,6,6,6,6,6,10,ajutine; säuts; koer; õpilane; haridus; määrus
6,6,6,6,6,6,6,6,6,10,ajutine; säuts; koer; õpilane; haridus; määrus
