EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
8,8,3,6,2,6,7,6,6,17,norra; saun; susi; ülikool; mart; margit; concordia; elamiskõlbulik; pirgu; mõisaproua; pekk; mõis; sisekujundus; ruth-kaja; psühholoog
9,8,3,6,2,7,7,8,6,17,norra; saun; susi; ülikool; mart; margit; concordia; elamiskõlbulik; pirgu; mõisaproua; pekk; mõis; sisekujundus; ruth-kaja; psühholoog
9,8,4,6,3,7,7,7,8,17,norra; saun; susi; ülikool; mart; margit; concordia; elamiskõlbulik; pirgu; mõisaproua; pekk; mõis; sisekujundus; ruth-kaja; psühholoog
9,8,4,7,3,6,6,8,9,17,norra; saun; susi; ülikool; mart; margit; concordia; elamiskõlbulik; pirgu; mõisaproua; pekk; mõis; sisekujundus; ruth-kaja; psühholoog
10,8,5,7,3,9,6,7,9,17,norra; saun; susi; ülikool; mart; margit; concordia; elamiskõlbulik; pirgu; mõisaproua; pekk; mõis; sisekujundus; ruth-kaja; psühholoog
9,6,10,9,4,10,5,7,9,17,norra; saun; susi; ülikool; mart; margit; concordia; elamiskõlbulik; pirgu; mõisaproua; pekk; mõis; sisekujundus; ruth-kaja; psühholoog
10,4,11,10,4,6,5,9,8,17,norra; saun; susi; ülikool; mart; margit; concordia; elamiskõlbulik; pirgu; mõisaproua; pekk; mõis; sisekujundus; ruth-kaja; psühholoog
9,7,11,11,5,7,6,10,8,17,norra; saun; susi; ülikool; mart; margit; concordia; elamiskõlbulik; pirgu; mõisaproua; pekk; mõis; sisekujundus; ruth-kaja; psühholoog
7,6,13,12,7,7,5,10,10,17,norra; saun; susi; ülikool; mart; margit; concordia; elamiskõlbulik; pirgu; mõisaproua; pekk; mõis; sisekujundus; ruth-kaja; psühholoog
7,6,11,12,10,9,6,7,10,17,norra; saun; susi; ülikool; mart; margit; concordia; elamiskõlbulik; pirgu; mõisaproua; pekk; mõis; sisekujundus; ruth-kaja; psühholoog
7,6,13,11,9,8,7,10,9,17,norra; saun; susi; ülikool; mart; margit; concordia; elamiskõlbulik; pirgu; mõisaproua; pekk; mõis; sisekujundus; ruth-kaja; psühholoog
