EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,5,6,4,3,4,5,3,6,16,majandus; itaalia; inflatsioon; vare; eesti; josing; silvio; kai; berluscon; marje
7,5,5,4,3,4,5,3,6,16,majandus; itaalia; inflatsioon; vare; eesti; josing; silvio; kai; berluscon; marje
9,5,4,4,3,5,5,4,6,16,majandus; itaalia; inflatsioon; vare; eesti; josing; silvio; kai; berluscon; marje
9,5,4,4,4,6,5,5,6,16,majandus; itaalia; inflatsioon; vare; eesti; josing; silvio; kai; berluscon; marje
9,6,5,5,4,7,5,5,6,16,majandus; itaalia; inflatsioon; vare; eesti; josing; silvio; kai; berluscon; marje
6,7,6,5,4,6,4,4,6,16,majandus; itaalia; inflatsioon; vare; eesti; josing; silvio; kai; berluscon; marje
5,7,7,6,5,7,4,6,6,16,majandus; itaalia; inflatsioon; vare; eesti; josing; silvio; kai; berluscon; marje
3,6,6,8,6,6,4,5,4,16,majandus; itaalia; inflatsioon; vare; eesti; josing; silvio; kai; berluscon; marje
3,5,6,9,7,7,4,7,4,16,majandus; itaalia; inflatsioon; vare; eesti; josing; silvio; kai; berluscon; marje
3,5,7,6,7,5,3,6,4,16,majandus; itaalia; inflatsioon; vare; eesti; josing; silvio; kai; berluscon; marje
3,8,7,6,6,6,3,6,4,16,majandus; itaalia; inflatsioon; vare; eesti; josing; silvio; kai; berluscon; marje
