EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
12,12,12,12,10,11,11,12,12,12,külalisesinemine; nsv; teatritrupp; riiklik; näitleja; ooperilavastus; sõprus; vanemuine; tšehhoslovakkia; liit; teater; draamatrupp
12,12,12,12,10,11,11,12,12,12,külalisesinemine; nsv; teatritrupp; riiklik; näitleja; ooperilavastus; sõprus; vanemuine; tšehhoslovakkia; liit; teater; draamatrupp
12,12,12,12,11,11,11,12,12,12,külalisesinemine; nsv; teatritrupp; riiklik; näitleja; ooperilavastus; sõprus; vanemuine; tšehhoslovakkia; liit; teater; draamatrupp
12,12,12,12,11,11,11,12,12,12,külalisesinemine; nsv; teatritrupp; riiklik; näitleja; ooperilavastus; sõprus; vanemuine; tšehhoslovakkia; liit; teater; draamatrupp
12,12,12,12,11,11,11,12,12,12,külalisesinemine; nsv; teatritrupp; riiklik; näitleja; ooperilavastus; sõprus; vanemuine; tšehhoslovakkia; liit; teater; draamatrupp
12,12,12,12,11,11,12,12,12,12,külalisesinemine; nsv; teatritrupp; riiklik; näitleja; ooperilavastus; sõprus; vanemuine; tšehhoslovakkia; liit; teater; draamatrupp
12,12,12,12,11,12,12,12,12,12,külalisesinemine; nsv; teatritrupp; riiklik; näitleja; ooperilavastus; sõprus; vanemuine; tšehhoslovakkia; liit; teater; draamatrupp
12,12,12,11,11,12,12,12,12,12,külalisesinemine; nsv; teatritrupp; riiklik; näitleja; ooperilavastus; sõprus; vanemuine; tšehhoslovakkia; liit; teater; draamatrupp
12,12,12,12,12,12,12,12,12,12,külalisesinemine; nsv; teatritrupp; riiklik; näitleja; ooperilavastus; sõprus; vanemuine; tšehhoslovakkia; liit; teater; draamatrupp
12,12,12,12,12,12,12,12,11,12,külalisesinemine; nsv; teatritrupp; riiklik; näitleja; ooperilavastus; sõprus; vanemuine; tšehhoslovakkia; teater; liit; draamatrupp
12,12,12,12,12,12,11,12,11,12,külalisesinemine; nsv; teatritrupp; riiklik; näitleja; ooperilavastus; sõprus; vanemuine; tšehhoslovakkia; teater; liit; draamatrupp
