EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
10,10,7,10,7,10,10,10,11,13,admiral; ükssilm; heino; kadri-ann; väli; hobune; karl; riisipirukas; silver; sagrits; kuuldemäng
10,10,7,10,7,10,10,10,11,13,admiral; ükssilm; heino; kadri-ann; väli; hobune; karl; riisipirukas; silver; sagrits; kuuldemäng
10,10,8,10,8,10,10,10,11,13,admiral; ükssilm; heino; kadri-ann; väli; hobune; karl; riisipirukas; silver; sagrits; kuuldemäng
10,10,9,10,8,10,11,10,11,13,admiral; ükssilm; heino; kadri-ann; väli; hobune; karl; riisipirukas; silver; sagrits; kuuldemäng
11,10,10,11,10,11,11,11,11,13,admiral; ükssilm; heino; kadri-ann; väli; hobune; karl; riisipirukas; silver; sagrits; kuuldemäng
11,10,10,11,10,11,11,11,11,13,admiral; ükssilm; heino; kadri-ann; väli; hobune; karl; riisipirukas; silver; sagrits; kuuldemäng
11,11,11,11,11,11,10,11,11,13,admiral; ükssilm; heino; kadri-ann; väli; hobune; karl; riisipirukas; silver; sagrits; kuuldemäng
11,10,11,11,11,10,10,11,11,13,admiral; ükssilm; heino; kadri-ann; väli; hobune; karl; riisipirukas; silver; sagrits; kuuldemäng
11,10,11,11,11,10,11,11,11,13,admiral; ükssilm; heino; kadri-ann; väli; hobune; karl; riisipirukas; silver; sagrits; kuuldemäng
11,11,11,11,10,10,11,11,11,13,admiral; ükssilm; heino; kadri-ann; väli; hobune; karl; riisipirukas; silver; sagrits; kuuldemäng
11,11,11,11,10,11,11,11,11,13,admiral; ükssilm; heino; kadri-ann; väli; hobune; karl; riisipirukas; silver; sagrits; kuuldemäng
