EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
9,9,10,8,10,10,10,11,10,13,thomas; blogi; kristjan; watson; port; globaalne; mõtlema; tehnoloogia; internet; suurelt; arvuti
9,9,10,8,11,10,10,11,10,13,thomas; blogi; kristjan; watson; port; globaalne; mõtlema; tehnoloogia; internet; suurelt; arvuti
9,9,11,8,11,10,10,11,10,13,thomas; blogi; kristjan; watson; port; globaalne; mõtlema; tehnoloogia; internet; suurelt; arvuti
9,9,11,9,11,10,10,11,10,13,thomas; blogi; kristjan; watson; port; globaalne; mõtlema; tehnoloogia; internet; suurelt; arvuti
9,9,11,9,11,11,11,11,10,13,thomas; blogi; kristjan; watson; port; globaalne; mõtlema; tehnoloogia; internet; suurelt; arvuti
10,9,11,9,11,11,11,11,10,13,thomas; blogi; kristjan; watson; port; globaalne; mõtlema; tehnoloogia; internet; suurelt; arvuti
11,9,11,9,11,11,11,11,10,13,thomas; blogi; kristjan; watson; port; globaalne; mõtlema; tehnoloogia; internet; suurelt; arvuti
11,9,9,11,10,11,11,11,10,13,thomas; blogi; kristjan; watson; port; globaalne; mõtlema; tehnoloogia; internet; suurelt; arvuti
11,8,11,10,10,11,11,11,10,13,thomas; blogi; kristjan; watson; port; globaalne; mõtlema; tehnoloogia; internet; suurelt; arvuti
9,10,11,10,10,11,11,11,11,13,thomas; blogi; kristjan; watson; port; globaalne; mõtlema; tehnoloogia; internet; suurelt; arvuti
9,10,10,11,10,11,11,11,11,13,thomas; blogi; kristjan; watson; port; globaalne; mõtlema; tehnoloogia; internet; suurelt; arvuti
