EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
11,12,11,11,11,9,10,11,11,12,soome; takistus; maailmameister; birgit; uusorg; margo; eesti; vesi; võistlus; naisekandmine; ulrich; kaal
11,12,11,11,11,10,11,11,11,12,soome; takistus; maailmameister; birgit; uusorg; margo; eesti; vesi; võistlus; naisekandmine; ulrich; kaal
11,12,11,11,11,10,11,10,11,12,soome; takistus; maailmameister; birgit; uusorg; margo; eesti; vesi; võistlus; naisekandmine; ulrich; kaal
11,12,11,11,11,10,11,10,11,12,soome; takistus; maailmameister; birgit; uusorg; margo; eesti; vesi; võistlus; naisekandmine; ulrich; kaal
11,12,12,11,10,11,11,10,11,12,soome; takistus; maailmameister; birgit; uusorg; margo; eesti; vesi; võistlus; naisekandmine; ulrich; kaal
10,12,12,11,9,11,11,10,11,12,soome; takistus; maailmameister; birgit; uusorg; margo; eesti; vesi; võistlus; naisekandmine; ulrich; kaal
11,12,12,11,10,11,12,11,11,12,soome; takistus; maailmameister; birgit; uusorg; margo; eesti; vesi; võistlus; naisekandmine; ulrich; kaal
12,11,12,11,10,12,12,10,11,12,soome; takistus; maailmameister; birgit; uusorg; margo; eesti; vesi; võistlus; naisekandmine; ulrich; kaal
10,11,12,11,10,12,12,10,11,12,soome; takistus; maailmameister; birgit; uusorg; margo; eesti; vesi; võistlus; naisekandmine; ulrich; kaal
9,10,11,12,10,12,12,9,11,12,soome; takistus; maailmameister; birgit; uusorg; margo; eesti; vesi; võistlus; naisekandmine; ulrich; kaal
11,11,11,11,12,12,12,9,11,12,soome; takistus; maailmameister; birgit; uusorg; margo; eesti; vesi; võistlus; naisekandmine; ulrich; kaal
