EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
5,5,4,3,2,3,5,5,5,15,film; armukolmnurk; komandör; stalin; nõukogu; kangelane; kosmodemjanskaja; liit; naiskangelanna
5,5,4,3,2,6,5,6,5,15,film; armukolmnurk; komandör; stalin; nõukogu; kangelane; kosmodemjanskaja; liit; naiskangelanna
5,6,4,3,2,6,5,6,5,15,film; armukolmnurk; komandör; stalin; nõukogu; kangelane; kosmodemjanskaja; liit; naiskangelanna
5,6,4,4,2,6,7,6,5,15,film; armukolmnurk; komandör; stalin; nõukogu; kangelane; kosmodemjanskaja; liit; naiskangelanna
6,6,5,4,2,6,7,6,5,15,film; armukolmnurk; komandör; stalin; nõukogu; kangelane; kosmodemjanskaja; liit; naiskangelanna
6,5,5,6,2,6,6,6,5,15,film; armukolmnurk; komandör; stalin; nõukogu; kangelane; kosmodemjanskaja; liit; naiskangelanna
3,5,5,5,3,6,6,6,5,15,film; armukolmnurk; komandör; stalin; kangelane; liit; nõukogu; kosmodemjanskaja; naiskangelanna
3,7,7,7,3,6,5,7,5,15,film; armukolmnurk; komandör; stalin; kangelane; liit; nõukogu; kosmodemjanskaja; naiskangelanna
3,8,7,6,4,6,6,6,5,15,film; armukolmnurk; komandör; stalin; kangelane; liit; nõukogu; kosmodemjanskaja; naiskangelanna
6,7,6,7,4,5,5,7,5,15,film; armukolmnurk; komandör; stalin; kangelane; liit; nõukogu; kosmodemjanskaja; naiskangelanna
5,6,8,7,5,5,5,7,7,15,film; armukolmnurk; komandör; stalin; kangelane; liit; nõukogu; kosmodemjanskaja; naiskangelanna
