EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
9,9,9,9,9,9,9,9,9,10,ameerika; jutlus; kanada; jumal; kuulaja; altar; tempel; õnnistus; laulma
9,9,9,9,9,9,9,9,9,10,ameerika; jutlus; kanada; jumal; kuulaja; altar; tempel; õnnistus; laulma
9,9,9,9,9,9,9,9,9,10,ameerika; jutlus; kanada; jumal; kuulaja; altar; tempel; õnnistus; laulma
9,9,9,9,9,9,9,9,9,10,ameerika; jutlus; kanada; jumal; kuulaja; altar; tempel; õnnistus; laulma
9,9,9,9,9,9,9,9,9,10,ameerika; jutlus; kanada; jumal; kuulaja; altar; tempel; õnnistus; laulma
9,9,9,9,9,9,9,9,9,10,ameerika; jutlus; kanada; jumal; kuulaja; altar; tempel; õnnistus; laulma
9,9,9,9,9,9,9,9,9,10,ameerika; jutlus; kanada; jumal; kuulaja; altar; tempel; õnnistus; laulma
9,9,9,9,9,9,9,9,9,10,ameerika; jutlus; kanada; jumal; kuulaja; altar; tempel; õnnistus; laulma
9,9,9,9,9,9,9,9,9,10,ameerika; jutlus; kanada; jumal; kuulaja; altar; tempel; õnnistus; laulma
9,9,9,9,9,9,9,9,9,10,ameerika; jutlus; kanada; jumal; kuulaja; altar; tempel; õnnistus; laulma
9,9,9,9,9,9,9,9,9,10,ameerika; jutlus; kanada; jumal; kuulaja; altar; tempel; õnnistus; laulma
