EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
9,10,10,9,10,10,10,8,9,12,lill; koit; robert; friedrich; faehlmann; huul; päike; taevas; lind; hämarik
9,10,10,9,10,10,10,8,9,12,lill; koit; robert; friedrich; faehlmann; huul; päike; taevas; lind; hämarik
9,10,10,9,10,10,10,8,9,12,lill; koit; robert; friedrich; faehlmann; huul; päike; taevas; lind; hämarik
10,10,10,9,10,10,10,8,9,12,lill; koit; robert; friedrich; faehlmann; huul; päike; taevas; lind; hämarik
10,10,10,9,10,10,10,10,10,12,lill; koit; robert; friedrich; faehlmann; huul; päike; taevas; lind; hämarik
10,10,10,9,10,10,10,10,10,12,lill; koit; robert; friedrich; faehlmann; huul; päike; taevas; lind; hämarik
10,10,10,10,10,10,10,10,10,12,lill; koit; robert; friedrich; faehlmann; huul; päike; taevas; lind; hämarik
10,10,10,10,10,10,10,10,10,12,lill; koit; robert; friedrich; faehlmann; huul; päike; taevas; lind; hämarik
10,10,10,10,10,10,10,10,10,12,lill; koit; robert; friedrich; faehlmann; huul; päike; taevas; lind; hämarik
9,10,10,10,10,10,10,10,9,12,lill; koit; robert; friedrich; faehlmann; huul; päike; taevas; lind; hämarik
9,10,10,10,10,10,10,10,10,12,lill; koit; robert; friedrich; faehlmann; huul; päike; taevas; lind; hämarik
