EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
3,4,2,2,2,0,1,3,2,14,töö; suitsetamine; usaldus; detail; jääma; ülo; sõda
3,5,3,2,2,0,1,3,2,14,töö; suitsetamine; usaldus; detail; jääma; ülo; sõda
3,4,3,2,2,0,1,3,3,14,töö; suitsetamine; usaldus; detail; ülo; jääma; sõda
4,4,4,2,2,2,1,3,3,14,töö; suitsetamine; usaldus; detail; ülo; jääma; sõda
3,4,5,1,2,1,3,4,3,14,töö; suitsetamine; usaldus; detail; ülo; jääma; sõda
4,3,5,1,2,3,3,4,3,14,töö; suitsetamine; usaldus; detail; ülo; jääma; sõda
5,3,5,2,3,5,3,4,3,14,töö; suitsetamine; usaldus; detail; ülo; jääma; sõda
4,3,4,3,3,6,4,4,3,14,töö; suitsetamine; usaldus; detail; jääma; ülo; sõda
4,2,5,4,3,4,5,5,4,14,töö; suitsetamine; usaldus; detail; jääma; ülo; sõda
4,5,4,4,4,6,4,4,3,14,töö; suitsetamine; usaldus; detail; jääma; ülo; sõda
3,3,4,4,2,7,6,4,3,14,töö; suitsetamine; usaldus; detail; jääma; ülo; sõda
