EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,7,5,6,6,8,6,8,6,10,lill; koit; valgusandja; ööbik; faehlmann; taevas; hämarik; vanaisa
6,7,5,6,6,8,6,8,6,10,lill; koit; valgusandja; ööbik; faehlmann; taevas; hämarik; vanaisa
6,7,5,6,6,8,6,8,6,10,lill; koit; valgusandja; ööbik; faehlmann; taevas; hämarik; vanaisa
6,7,5,6,6,8,6,8,6,10,lill; koit; valgusandja; ööbik; faehlmann; taevas; hämarik; vanaisa
6,7,5,6,6,8,7,8,6,10,lill; koit; valgusandja; ööbik; faehlmann; taevas; hämarik; vanaisa
6,7,5,6,6,8,6,8,6,10,lill; koit; valgusandja; ööbik; faehlmann; taevas; hämarik; vanaisa
6,7,5,6,6,8,7,8,6,10,lill; koit; valgusandja; ööbik; faehlmann; taevas; hämarik; vanaisa
7,7,4,6,6,8,7,8,6,10,lill; koit; valgusandja; ööbik; faehlmann; taevas; hämarik; vanaisa
7,7,5,6,6,8,7,8,6,10,lill; koit; valgusandja; ööbik; faehlmann; taevas; hämarik; vanaisa
6,7,5,7,6,6,7,8,6,10,lill; koit; valgusandja; ööbik; faehlmann; taevas; hämarik; vanaisa
7,7,5,6,7,6,7,8,6,10,lill; koit; valgusandja; ööbik; faehlmann; taevas; hämarik; vanaisa
