EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
8,7,3,6,2,5,7,8,4,12,kultuuripäev; külalisesinemine; teatritrupp; vilimaa; suhe; ooperilavastus; ülo; ostrava; tšehhoslovakkia; sõprusteater
8,7,3,6,2,5,7,8,4,12,kultuuripäev; külalisesinemine; teatritrupp; vilimaa; suhe; ooperilavastus; ülo; ostrava; tšehhoslovakkia; sõprusteater
8,7,3,6,2,5,7,8,4,12,kultuuripäev; külalisesinemine; teatritrupp; vilimaa; suhe; ooperilavastus; ülo; ostrava; tšehhoslovakkia; sõprusteater
8,7,3,6,2,5,7,8,4,12,kultuuripäev; külalisesinemine; teatritrupp; vilimaa; suhe; ooperilavastus; ülo; ostrava; tšehhoslovakkia; sõprusteater
8,7,3,6,2,5,7,8,4,12,kultuuripäev; külalisesinemine; teatritrupp; vilimaa; suhe; ooperilavastus; ülo; ostrava; tšehhoslovakkia; sõprusteater
8,7,3,6,2,5,7,8,4,12,kultuuripäev; külalisesinemine; teatritrupp; vilimaa; suhe; ooperilavastus; ülo; ostrava; tšehhoslovakkia; sõprusteater
8,7,3,6,2,5,7,8,4,12,kultuuripäev; külalisesinemine; teatritrupp; vilimaa; suhe; ooperilavastus; ülo; ostrava; tšehhoslovakkia; sõprusteater
9,7,3,6,2,5,7,8,4,12,kultuuripäev; külalisesinemine; teatritrupp; vilimaa; suhe; ooperilavastus; ülo; ostrava; tšehhoslovakkia; sõprusteater
9,7,3,6,2,6,7,7,4,12,kultuuripäev; külalisesinemine; teatritrupp; vilimaa; suhe; ooperilavastus; ülo; ostrava; tšehhoslovakkia; sõprusteater
7,7,4,6,1,6,6,8,4,12,külalisesinemine; kultuuripäev; teatritrupp; vilimaa; suhe; ooperilavastus; ülo; ostrava; tšehhoslovakkia; sõprusteater
7,6,4,7,2,6,5,8,5,12,külalisesinemine; kultuuripäev; teatritrupp; vilimaa; suhe; ooperilavastus; ülo; ostrava; tšehhoslovakkia; sõprusteater
