EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
4,6,7,3,1,6,3,6,6,10,keskkool; tele; töö; eriala; armastus; näitleja; raadio; raha; lavakas
4,6,7,3,1,6,3,6,6,10,keskkool; tele; töö; eriala; armastus; näitleja; raadio; raha; lavakas
4,6,7,3,1,6,3,6,6,10,keskkool; tele; töö; eriala; armastus; näitleja; raadio; raha; lavakas
4,6,7,3,1,6,3,6,6,10,keskkool; tele; töö; eriala; armastus; näitleja; raadio; raha; lavakas
4,5,5,3,1,6,3,6,6,10,keskkool; tele; töö; eriala; armastus; näitleja; raadio; raha; lavakas
3,6,7,3,1,6,4,6,6,10,keskkool; tele; eriala; töö; armastus; näitleja; raadio; raha; lavakas
6,6,8,4,1,7,3,8,6,10,keskkool; eriala; tele; töö; armastus; näitleja; raadio; raha; lavakas
5,5,7,3,0,6,7,7,6,10,keskkool; eriala; töö; tele; armastus; näitleja; raadio; raha; lavakas
6,5,8,5,0,6,6,7,6,10,keskkool; eriala; tele; töö; armastus; näitleja; raadio; raha; lavakas
6,5,5,7,0,6,6,7,6,10,keskkool; tele; eriala; töö; armastus; näitleja; raadio; raha; lavakas
7,3,5,7,2,8,5,4,7,10,keskkool; tele; eriala; töö; armastus; näitleja; raadio; raha; lavakas
