EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
4,3,2,1,3,2,1,1,1,13,rektor; kolu; perekond; concordia; kursus; mõis
4,3,2,1,3,2,1,1,1,13,rektor; kolu; perekond; concordia; kursus; mõis
4,3,2,1,3,2,1,1,1,13,rektor; kolu; perekond; concordia; kursus; mõis
4,4,2,1,3,2,1,1,1,13,rektor; kolu; perekond; concordia; kursus; mõis
4,4,2,1,3,2,1,2,1,13,rektor; kolu; perekond; concordia; kursus; mõis
5,4,2,1,3,1,1,1,1,13,rektor; kolu; perekond; concordia; kursus; mõis
3,3,3,4,3,1,1,2,1,13,rektor; kolu; perekond; concordia; kursus; mõis
4,4,2,4,3,1,2,3,1,13,rektor; kolu; perekond; concordia; kursus; mõis
4,4,3,4,3,1,1,2,1,13,rektor; kolu; perekond; concordia; kursus; mõis
2,3,3,2,2,1,1,1,1,13,kolu; rektor; perekond; concordia; kursus; mõis
5,4,3,4,2,1,1,3,1,13,rektor; kolu; perekond; concordia; kursus; mõis
