EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
5,5,6,8,2,6,5,8,4,12,eero; juubel; hääl; raadio; sepling; veike; buratino; ferdinand; televisioon
5,5,6,8,2,6,5,8,4,12,eero; juubel; hääl; raadio; sepling; veike; buratino; ferdinand; televisioon
5,5,6,8,2,6,5,8,4,12,eero; juubel; hääl; raadio; sepling; veike; buratino; ferdinand; televisioon
5,5,6,8,2,6,5,8,4,12,eero; juubel; hääl; raadio; sepling; veike; buratino; ferdinand; televisioon
5,5,7,8,2,6,5,8,4,12,eero; juubel; hääl; raadio; sepling; veike; buratino; ferdinand; televisioon
7,5,8,8,2,6,5,8,4,12,eero; juubel; hääl; raadio; sepling; veike; buratino; ferdinand; televisioon
6,4,7,8,3,6,5,8,4,12,eero; juubel; hääl; raadio; sepling; veike; buratino; ferdinand; televisioon
6,6,7,8,3,8,6,8,4,12,eero; juubel; hääl; raadio; sepling; veike; buratino; ferdinand; televisioon
6,6,7,6,5,6,8,8,4,12,eero; juubel; hääl; raadio; sepling; veike; ferdinand; buratino; televisioon
5,6,7,7,4,6,7,7,4,12,eero; juubel; hääl; raadio; sepling; veike; ferdinand; buratino; televisioon
6,4,7,8,4,5,8,6,6,12,eero; juubel; hääl; raadio; sepling; veike; ferdinand; buratino; televisioon
