EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
8,9,7,6,7,8,7,9,8,10,mälestus; ühislaulmine; traditsioon; meeskoor; noor; laulukaar; proov; repertuaar; laulupidu
8,9,7,6,7,8,7,9,8,10,mälestus; ühislaulmine; traditsioon; meeskoor; noor; laulukaar; proov; repertuaar; laulupidu
8,9,7,6,7,8,7,9,8,10,mälestus; ühislaulmine; traditsioon; meeskoor; noor; laulukaar; proov; repertuaar; laulupidu
8,9,7,6,7,8,7,9,8,10,mälestus; ühislaulmine; traditsioon; meeskoor; noor; laulukaar; proov; repertuaar; laulupidu
8,9,7,6,7,8,7,9,8,10,mälestus; ühislaulmine; traditsioon; meeskoor; noor; laulukaar; proov; repertuaar; laulupidu
8,9,7,6,7,8,7,9,8,10,mälestus; ühislaulmine; traditsioon; meeskoor; noor; laulukaar; proov; repertuaar; laulupidu
8,9,7,6,7,8,7,9,8,10,mälestus; ühislaulmine; traditsioon; meeskoor; noor; laulukaar; proov; repertuaar; laulupidu
8,9,7,6,7,8,7,9,8,10,mälestus; ühislaulmine; traditsioon; meeskoor; noor; laulukaar; proov; repertuaar; laulupidu
9,9,7,6,7,8,7,9,8,10,mälestus; ühislaulmine; traditsioon; meeskoor; noor; laulukaar; proov; repertuaar; laulupidu
9,9,7,6,7,8,8,9,8,10,mälestus; ühislaulmine; traditsioon; meeskoor; noor; laulukaar; proov; repertuaar; laulupidu
9,9,7,6,6,8,8,9,8,10,mälestus; ühislaulmine; traditsioon; meeskoor; noor; laulukaar; proov; repertuaar; laulupidu
