EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
8,10,8,9,7,6,5,7,5,11,seljakott; aeg; raadiomaja; tuletõrje; sportlane; jooksma; stuudio; plaat; korrus; aesma
8,10,8,9,7,6,5,7,5,11,seljakott; aeg; raadiomaja; tuletõrje; sportlane; jooksma; stuudio; plaat; korrus; aesma
8,10,8,9,7,6,5,7,5,11,seljakott; aeg; raadiomaja; tuletõrje; sportlane; jooksma; stuudio; plaat; korrus; aesma
8,10,8,9,7,6,5,7,5,11,seljakott; aeg; raadiomaja; tuletõrje; sportlane; jooksma; stuudio; plaat; korrus; aesma
7,10,9,9,7,6,5,7,5,11,seljakott; aeg; raadiomaja; tuletõrje; sportlane; jooksma; stuudio; plaat; korrus; aesma
7,10,8,9,7,5,5,7,5,11,seljakott; aeg; raadiomaja; tuletõrje; sportlane; jooksma; stuudio; plaat; korrus; aesma
7,10,8,9,7,7,8,8,5,11,seljakott; aeg; raadiomaja; tuletõrje; sportlane; jooksma; stuudio; plaat; korrus; aesma
6,10,9,9,7,7,9,8,5,11,seljakott; aeg; raadiomaja; tuletõrje; sportlane; jooksma; stuudio; plaat; korrus; aesma
7,9,9,8,7,7,8,7,5,11,seljakott; aeg; raadiomaja; tuletõrje; sportlane; jooksma; stuudio; plaat; korrus; aesma
7,8,7,9,7,6,8,8,5,11,seljakott; aeg; raadiomaja; tuletõrje; sportlane; jooksma; stuudio; plaat; korrus; aesma
6,8,7,9,7,7,8,8,5,11,seljakott; aeg; raadiomaja; sportlane; tuletõrje; jooksma; stuudio; plaat; korrus; aesma
