EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
9,5,9,7,4,5,7,9,5,10,ameerika; sport; euroopa; võitlus; show; meedia; tähendus; elukutse; jalgpall; äri
9,5,9,7,4,5,7,9,5,10,ameerika; sport; euroopa; võitlus; show; meedia; tähendus; elukutse; jalgpall; äri
9,5,9,7,4,5,7,9,5,10,ameerika; sport; euroopa; võitlus; show; meedia; tähendus; elukutse; jalgpall; äri
9,5,9,7,4,5,7,9,5,10,ameerika; sport; euroopa; võitlus; show; meedia; tähendus; elukutse; jalgpall; äri
9,5,9,7,4,5,7,9,5,10,ameerika; sport; euroopa; võitlus; show; meedia; tähendus; elukutse; jalgpall; äri
9,5,10,7,4,5,7,9,5,10,ameerika; sport; euroopa; võitlus; show; meedia; tähendus; elukutse; jalgpall; äri
10,6,8,7,4,6,7,8,5,10,tähendus; elukutse; jalgpall; euroopa; äri; ameerika; sport; võitlus; show; meedia
7,6,9,8,4,7,7,8,5,10,tähendus; elukutse; jalgpall; euroopa; äri; ameerika; sport; võitlus; show; meedia
8,7,9,7,5,9,9,9,5,10,ameerika; sport; euroopa; võitlus; show; meedia; tähendus; elukutse; jalgpall; äri
9,8,9,9,5,10,7,9,5,10,ameerika; euroopa; sport; võitlus; show; meedia; tähendus; elukutse; jalgpall; äri
8,7,8,8,4,9,8,9,6,10,ameerika; euroopa; sport; võitlus; show; meedia; tähendus; elukutse; jalgpall; äri
