EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
5,4,4,6,3,5,4,5,2,13,september; mälestus; muusika; vaikus; tõnis; klassikaline; muusik
5,4,4,6,3,5,4,5,2,13,september; mälestus; muusika; vaikus; tõnis; klassikaline; muusik
5,4,4,6,3,5,4,5,2,13,september; mälestus; muusika; vaikus; tõnis; klassikaline; muusik
5,4,4,6,3,5,4,5,2,13,september; mälestus; muusika; vaikus; tõnis; klassikaline; muusik
5,4,4,6,3,5,4,5,2,13,september; mälestus; muusika; vaikus; tõnis; klassikaline; muusik
5,4,4,6,3,5,4,5,2,13,september; mälestus; muusika; vaikus; tõnis; klassikaline; muusik
5,4,4,6,3,5,4,5,2,13,september; mälestus; muusika; vaikus; tõnis; klassikaline; muusik
5,4,4,6,3,5,4,5,2,13,september; mälestus; muusika; vaikus; tõnis; klassikaline; muusik
5,4,4,6,3,5,4,5,2,13,september; mälestus; muusika; vaikus; tõnis; klassikaline; muusik
5,4,4,6,3,5,4,5,2,13,september; mälestus; muusika; vaikus; tõnis; klassikaline; muusik
5,4,4,6,3,5,4,5,2,13,september; mälestus; muusika; vaikus; tõnis; klassikaline; muusik
